ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0048732	gland development	247	-0.564379278849634	-1.94178348337603	1e-10	4.958e-08	3.74421052631579e-08	1720	tags=31%, list=15%, signal=27%	12388/65960/24075/14634/18746/14775/17172/12724/15368/21813/17390/78894/57295/18208/14228/21672/19116/12028/13614/545156/20249/68949/22417/17069/26417/11845/16658/110351/20563/21934/17345/18595/56847/13845/18102/18596/14082/21817/94109/12577/21809/104156/16011/15205/57764/78908/13983/16776/15451/14609/14104/11821/54135/18591/207920/216233/15902/21420/54139/81879/11622/19664/20682/20724/22337/15375/19242/16772/12550/20665/21990/18667/13711/14462/12443/11839/12994
GO:0030855	epithelial cell differentiation	349	-0.54513847551653	-1.8949451079853	1e-10	4.958e-08	3.74421052631579e-08	1212	tags=23%, list=11%, signal=21%	19116/101809/18755/12192/13614/18613/22411/68949/69697/22417/218518/224912/13618/16600/19041/18213/319710/71602/16658/74127/233066/13388/20401/12577/622434/286940/20677/12571/15205/11994/13983/14739/71529/21808/16450/14609/14726/70350/14104/12741/211323/18591/207920/21346/15902/226999/110308/55948/21420/21345/54139/81879/71461/19126/19664/19143/20682/252973/109620/218624/22337/27375/15375/21418/20733/16772/12550/12560/22350/16664/12739/12484/18667/13711/14462/53868/12443/16669/110310/12945
GO:0002009	morphogenesis of an epithelium	325	-0.535978328377253	-1.85892212984319	1e-10	4.958e-08	3.74421052631579e-08	1478	tags=27%, list=13%, signal=24%	21813/16007/208177/17390/20971/11465/18208/14734/11461/20349/13614/22411/381979/12215/69697/22417/69903/224912/53310/20319/16600/13036/76365/17869/22413/20563/18595/233066/56847/13388/241639/20401/73181/17387/21817/94109/18479/76905/104156/16011/15205/11994/57764/140570/72388/13983/13800/21815/13841/16776/21808/54710/16450/13838/16373/14609/14726/11607/14160/18591/207920/21420/16372/14254/21677/18605/71461/20732/16371/11622/19664/19143/20682/252973/20724/22337/15375/21418/20733/16772/12550/14368/20665/76509/18667/14462/11839/16819
GO:0048729	tissue morphogenesis	373	-0.520080294126421	-1.80858154698107	1e-10	4.958e-08	3.74421052631579e-08	2090	tags=32%, list=18%, signal=27%	18952/14313/13543/270685/11606/17131/20315/14367/12034/64138/13123/71913/20496/21849/18643/13642/12388/65960/24075/19045/14634/13001/381157/80294/21813/16007/208177/17390/20971/11465/22003/18208/14734/11461/20349/13614/22411/381979/12215/69697/22417/69903/224912/53310/17069/22761/20319/16600/13036/58859/76365/17869/22413/20563/18595/233066/56847/13388/241639/20401/268902/18187/73181/17387/21817/94109/18479/76905/104156/16011/15205/11994/57764/140570/72388/13983/13800/21815/13841/16776/21808/54710/16450/13838/16373/14609/14726/11607/211323/14160/18591/207920/21420/16372/14254/21677/18605/71461/20732/16371/11622/19664/19143/20682/252973/109620/20724/22337/15375/21418/20733/22138/16772/12550/14368/20665/76509/18667/14462/11839/16819
GO:2000147	positive regulation of cell motility	384	-0.514775838740675	-1.79059195330688	1e-10	4.958e-08	3.74421052631579e-08	1565	tags=27%, list=14%, signal=24%	20130/15894/15368/21838/21813/16007/50490/13132/17390/11651/11465/16398/11980/108151/14678/21825/18208/11674/14745/64074/20349/13614/12842/80837/56221/18613/23871/11745/16149/30955/20360/76454/12261/12215/13143/21930/22419/26417/13036/11845/18213/103742/18552/17869/50706/12721/18595/241639/26564/27226/76441/18596/17387/14082/18479/20304/106512/20358/12554/227541/16011/15507/320924/11596/16400/66102/384009/14786/54357/27205/14694/21808/56508/13838/57266/114332/20354/114774/14726/16416/18591/14456/11475/16782/14254/19699/19241/11826/20682/13653/21418/432995/19242/20620/329252/13078/17075/12739/16590/76509/18667/14462/53868/53624/16819
GO:0040017	positive regulation of locomotion	391	-0.514218661380027	-1.7889547906821	1e-10	4.958e-08	3.74421052631579e-08	1565	tags=27%, list=14%, signal=24%	20130/15894/15368/21838/21813/16007/50490/13132/17390/11651/11465/16398/11980/108151/14678/21825/18208/11674/14745/64074/20349/13614/12842/80837/56221/18613/23871/11745/16149/30955/20360/76454/12261/12215/20908/13143/21930/22419/26417/13036/11845/18213/103742/18552/17869/20563/50706/12721/18595/241639/26564/27226/76441/18596/17387/14082/18479/20304/106512/20358/12554/227541/16011/15507/320924/11596/16400/66102/384009/14786/54357/27205/14694/21808/56508/13838/57266/114332/20354/114774/14726/16416/18591/14456/11475/16782/14254/19699/19241/11826/20682/13653/21418/432995/19242/20620/329252/13078/17075/12739/16590/76509/18667/14462/53868/53624/16819
GO:0030335	positive regulation of cell migration	373	-0.509683868582643	-1.7724279306926	1e-10	4.958e-08	3.74421052631579e-08	1565	tags=27%, list=14%, signal=24%	20130/15894/15368/21838/21813/16007/50490/13132/17390/11651/11465/16398/11980/108151/14678/21825/11674/14745/64074/20349/13614/12842/80837/56221/18613/23871/11745/16149/30955/20360/76454/12261/12215/13143/21930/22419/26417/13036/11845/18213/103742/18552/17869/50706/12721/18595/241639/26564/27226/76441/18596/17387/14082/18479/20304/106512/20358/12554/227541/16011/15507/320924/11596/16400/66102/384009/14786/54357/27205/14694/21808/56508/13838/57266/114332/20354/114774/14726/16416/18591/14456/11475/16782/14254/19699/19241/11826/20682/13653/21418/432995/19242/20620/329252/13078/12739/16590/76509/18667/14462/53868/16819
GO:0098609	cell-cell adhesion	496	-0.501866040056511	-1.75300192710716	1e-10	4.958e-08	3.74421052631579e-08	1789	tags=30%, list=16%, signal=27%	63873/94185/13642/81601/11689/12151/12388/65960/23965/12161/14634/239096/14999/104709/15894/14960/16923/12386/17967/21838/22295/21813/16007/56741/15510/20971/14961/11651/16398/13837/15519/12552/13641/21825/16190/18208/21672/215654/73182/20227/78317/11461/19260/12490/12192/23959/12522/18613/23871/14969/104099/242202/56460/16149/13866/270120/20345/69697/22417/100182/53310/18081/12495/331461/268373/22042/16600/192216/13723/15040/217303/76365/16950/15007/16408/14870/13875/110351/20563/320772/224024/12721/18595/14204/16414/22329/13845/268902/11847/14082/20304/11735/76905/545370/20677/12554/75599/15205/11994/15170/15507/140570/13602/13176/11596/16400/233765/319387/13841/13385/208936/27205/21808/241226/16421/74202/20354/18163/114774/14726/93842/67703/12741/211323/16416/80883/192897/23964/192167/13052/12527/320910/19281/13511/20682/12231/14012/109620/27375/20733/12550/12560/238205/17470/13078/17075/12739/12484/16590/14462/15930
GO:0030036	actin cytoskeleton organization	451	-0.492096208796146	-1.71364668063541	1e-10	4.958e-08	3.74421052631579e-08	1868	tags=27%, list=17%, signal=24%	11853/17929/68089/74137/277360/63873/18643/15461/665113/17919/54132/330938/27361/26934/232201/432572/80880/15894/12386/56212/56320/50490/13860/208177/20971/11465/13837/22003/68833/56419/15901/14745/68794/13823/11461/76566/12372/13614/13605/80837/56221/18613/13007/22411/72042/29816/22417/72754/104027/29856/30794/237436/18826/71960/69550/11845/12798/15162/71602/20563/14758/17912/12721/18595/20410/20401/76441/207212/18596/18479/286940/545370/21809/12797/69581/14201/11994/68075/640524/74103/30785/13800/12332/231646/14739/52428/22177/24131/54357/17880/171580/21808/13824/98932/114774/14609/16416/18591/21346/13052/110380/53318/71994/71461/17357/21957/545481/19241/229474/11826/19240/22004/432995/242553/22138/12550/71774/22350/14219/12739/16590/16669/11459/16691
GO:0030029	actin filament-based process	500	-0.482930891565055	-1.68733894148389	1e-10	4.958e-08	3.74421052631579e-08	1844	tags=27%, list=16%, signal=24%	17929/68089/74137/277360/63873/18643/15461/665113/17919/54132/330938/271639/27361/26934/232201/432572/80880/15894/12386/56212/56320/50490/13860/208177/20971/11465/13837/22003/68833/56419/15901/14745/68794/13823/11461/76566/12372/13614/13605/80837/56221/18613/13007/22411/72042/29816/22417/12296/214459/72754/104027/29856/30794/237436/18826/71960/69550/11845/12798/319710/15162/71602/20563/20266/14758/17912/12721/18595/20410/20401/76441/207212/18596/18479/286940/545370/21809/12797/69581/14201/11994/11928/68075/640524/74103/30785/13800/12332/231646/14739/52428/22177/24131/54357/17880/171580/21808/13824/98932/114774/14609/14726/16416/18591/21346/13052/18578/11475/12291/110380/53318/71994/71461/17357/21957/545481/19241/229474/11826/13511/19240/109620/22004/432995/242553/22138/12550/71774/22350/14219/12739/16590/16669/11459/16691
