ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002697	regulation of immune effector process	248	0.469810992820194	1.90854415968106	8.47930225396418e-09	4.37108031191853e-05	4.24232880137808e-05	2499	tags=33%, list=20%, signal=27%	14990/16019/30925/16182/15368/26904/14728/243958/16197/19204/233079/80861/12519/14130/83408/106759/20963/104709/74748/56744/16854/113002583/13345/16803/170743/14991/26365/54215/14999/21938/66824/56644/24088/20361/21898/27007/74131/77777/16846/18762/17969/56792/12258/20375/57765/12902/19419/63953/12628/16414/16453/56632/15223/19264/56708/11596/19041/234311/12493/11600/73914/16174/14389/28040/15042/235587/21929/243864/15170/21803/234779/16792/14131/117149/105855/266815/16149/217303/15039/14825/214763/16590
GO:0002252	immune effector process	389	0.416310690155348	1.75529936839555	3.54230551601596e-08	9.13029246753114e-05	8.86135690401256e-05	2499	tags=30%, list=20%, signal=25%	14990/16019/30925/12481/16182/15368/26904/18173/14728/232371/16842/16797/387510/243958/14133/16197/19204/233079/80861/19288/17916/12519/14130/83408/106759/20963/50723/104709/74748/26909/84112/56744/16854/113002583/13345/19229/12986/17480/16803/170743/16331/14991/26365/54215/14999/21938/66824/17175/56644/24088/321019/20361/21898/27007/74131/77777/16846/381812/18762/17969/56792/12258/20375/57765/12902/217304/19419/63953/18987/94176/12628/12260/16414/16453/210293/56632/15223/80385/19264/56708/11596/19041/234311/12493/66214/11600/73914/16174/22256/14389/28040/15042/235587/12263/21929/243864/15170/21803/234779/20556/16792/74732/16423/14131/117149/105855/266815/14961/16149/17863/217303/15039/14825/75974/214763/16590
GO:0050778	positive regulation of immune response	450	0.385276028953894	1.63097208007657	9.00169266119876e-07	0.00116009314171199	0.00112592224259678	2481	tags=28%, list=20%, signal=24%	434219/14990/16019/30925/16182/20186/26904/18173/14728/232371/16797/14133/54651/19204/233079/80861/12231/328795/21838/67664/24099/83408/106759/20963/50723/237754/18751/16854/113002583/21682/12801/23960/83490/72512/268857/16803/170743/14991/268973/17060/54215/226422/230787/14999/66824/17175/56644/24088/21898/27007/74131/77777/140792/18762/77647/236312/56792/108723/639774/12258/20375/57765/12902/74039/18019/19419/108960/12267/23921/75083/12628/12260/16414/56632/19264/240518/107321/56708/234311/14747/66214/66271/13982/73914/211550/106957/16174/13057/329919/15042/667823/239743/12263/93675/21929/243864/15170/21803/234779/14960/245945/434341/78781/16792/16423/637515/14131/22259/117149/66166/18783/105855/266815/14961/72179/239081/16168/20128/16149/242594/55932/217303/18760/12389/15039/210757/54396/214763
GO:0002250	adaptive immune response	265	0.420704993645146	1.72500759848215	5.72166581387643e-06	0.00349358055990894	0.00339067607356112	2441	tags=31%, list=19%, signal=26%	14990/16019/30925/16182/26904/18173/14728/232371/16842/16797/387510/243958/16197/12519/68279/14130/67664/24099/83408/20963/50723/26909/18751/56744/113002583/21682/19229/12986/17480/16331/14991/54215/13733/14999/21938/66824/17175/56644/321019/27007/74131/77777/17082/381812/18762/77647/12258/57765/12902/63953/12267/18987/12628/12260/16453/15223/19264/56708/11596/83964/16174/22256/15042/239743/235587/12263/21929/243864/15170/21803/14960/20556/75345/74732/14131/18783/105855/266815/14961/16149/18707/15039/210757
GO:0051249	regulation of lymphocyte activation	330	0.398962821745313	1.65552840614637	5.21044236168205e-06	0.00349358055990894	0.00339067607356112	2490	tags=28%, list=20%, signal=23%	14990/16019/242248/14728/16842/320484/16797/243958/69769/16197/12231/20377/22780/12519/21838/14130/24099/83408/106759/20963/50723/104709/74748/74734/56744/16854/113002583/21943/13643/27027/17480/232946/16331/100039795/26365/54215/230787/76088/14999/21938/66824/56644/321019/12522/21898/74131/77777/16846/18762/108723/20375/57765/74039/18019/16186/14087/19419/56436/63953/22410/16453/207952/15223/19264/22329/56708/11596/12493/14165/235587/54354/93675/16000/21929/15170/21803/14960/67122/75345/16792/16423/19261/117149/105855/14961/12367/16168/16149/217303/12389/15039/214763/20227/12978
GO:0006954	inflammatory response	476	0.374093353321061	1.59222136094953	6.09936470207187e-06	0.00349358055990894	0.00339067607356112	2515	tags=30%, list=20%, signal=25%	16154/14990/16182/20186/109901/15368/18173/14728/16797/30955/243958/69769/12771/13610/19204/233079/193034/56066/15945/17952/57781/11690/14130/56221/13618/106759/64339/20963/19220/74748/102635290/107221/84112/19216/232983/56744/21943/12801/320712/24136/83490/72512/224109/268857/239114/16803/170743/13058/268973/16835/68992/230787/12156/21938/263876/66824/56644/24088/13479/381493/20361/21898/19016/16846/17082/18762/236312/17969/56792/338364/12902/18405/93671/14087/19419/63953/12267/75083/12628/16414/16621/12833/231871/80385/59289/106512/22329/109685/56708/11596/83964/20292/14747/13982/19200/242864/16174/104759/13057/56334/17855/54473/52392/17312/63873/16000/21929/15170/21803/234779/21937/67389/26874/14268/16423/15234/637515/19261/15586/26397/14131/22259/117149/72179/11754/239081/58861/71660/20128/217303/216820/18760/192187/74637/18707/15039/14825/14345/54396/14775/20305/12978/16590/26440/22062
GO:0032649	regulation of type II interferon production	75	0.544670347878579	1.92032963026928	1.81285051009641e-05	0.00778770364962248	0.00755831445130545	1259	tags=27%, list=10%, signal=24%	30925/12481/16182/20186/26904/18173/14728/83408/16162/170743/14991/54215/66824/56644/21898/27007/74131/77777/17082/19419
GO:0002440	production of molecular mediator of immune response	182	0.43730177642553	1.72647252950204	3.03278816735844e-05	0.0120261715405637	0.0116719369712184	2499	tags=30%, list=20%, signal=25%	14990/16019/16182/15368/18173/14728/243958/16197/233079/14130/24099/83408/106759/20963/50723/26909/84112/113002583/13345/170743/54215/21938/66824/56644/24088/20361/21898/74131/18762/108723/57765/77782/19419/18987/16453/56632/19264/56708/19041/12493/11600/73914/16174/22256/235587/21929/21803/234779/16792/117149/14961/16149/15039/214763/16590
GO:0001909	leukocyte mediated cytotoxicity	80	0.536268187034737	1.90715088513049	3.41565788799362e-05	0.0125769402947194	0.0122064826628824	2444	tags=40%, list=19%, signal=32%	14990/30925/12481/26904/16197/14130/83408/104709/14991/26365/54215/27007/77777/16846/17969/56792/20375/19419/80385/19264/11596/16174/15042/243864/15170/21803/74732/14131/105855/266815/15039/14825
GO:0045428	regulation of nitric oxide biosynthetic process	47	0.601481659370739	1.97546037931918	4.56051433175084e-05	0.0154127137567187	0.0149587275482534	2562	tags=51%, list=20%, signal=41%	11605/15465/19288/193034/69219/83408/106759/18390/19229/14991/56644/24088/21898/27007/77777/58994/16414/13982/16000/16423/19261/12389/11652/11898
GO:0080164	regulation of nitric oxide metabolic process	49	0.598214843382107	1.97515778887267	5.90376239601632e-05	0.0169077195285912	0.016409697466822	2562	tags=51%, list=20%, signal=41%	11605/15465/19288/193034/69219/83408/106759/18390/19229/14991/56644/24088/21898/27007/77777/58994/16414/13982/217203/16000/16423/19261/12389/11652/11898
GO:0046209	nitric oxide metabolic process	59	0.551396544160384	1.8721908803398	7.21569261279754e-05	0.0181831399960192	0.0176475500334022	2562	tags=42%, list=20%, signal=34%	11605/15465/19288/193034/69219/83408/106759/18390/19229/14991/56644/24088/21898/27007/77777/58994/16414/13982/217203/16000/16423/19261/12389/11652/11898
GO:0006809	nitric oxide biosynthetic process	56	0.561589552204246	1.90089081639805	8.1098634048056e-05	0.0190028844780786	0.0184431486904502	2562	tags=43%, list=20%, signal=34%	11605/15465/19288/193034/69219/83408/106759/18390/19229/14991/56644/24088/21898/27007/77777/58994/16414/13982/16000/16423/19261/12389/11652/11898
GO:0001910	regulation of leukocyte mediated cytotoxicity	58	0.558242334176791	1.89064185805849	0.000120706805564427	0.026051815768226	0.0252844515485994	2444	tags=43%, list=19%, signal=35%	14990/30925/26904/16197/83408/104709/14991/26365/54215/27007/77777/16846/56792/20375/19419/19264/11596/16174/15042/243864/21803/105855/266815/15039/14825
GO:0002367	cytokine production involved in immune response	105	0.481464035750467	1.78145509835481	0.00012128876400338	0.026051815768226	0.0252844515485994	2499	tags=33%, list=20%, signal=27%	14990/16182/15368/18173/14728/233079/83408/106759/20963/84112/13345/170743/54215/21938/66824/56644/24088/20361/21898/74131/18762/57765/19419/16453/56632/11600/73914/16174/21803/234779/16792/117149/16149/15039/16590
GO:0002700	regulation of production of molecular mediator of immune response	134	0.453230005963367	1.73705805532616	0.000162879758647548	0.0328062038168422	0.0318398870266887	2499	tags=31%, list=20%, signal=25%	14990/16019/16182/15368/14728/243958/233079/14130/83408/106759/20963/113002583/13345/170743/54215/21938/66824/56644/24088/20361/21898/74131/18762/57765/16453/56632/19264/56708/19041/12493/11600/73914/235587/21929/21803/234779/16792/117149/16149/15039/214763/16590
GO:0031347	regulation of defense response	495	0.345403008933157	1.47054303347681	0.000165462909648477	0.0328062038168422	0.0318398870266887	2517	tags=27%, list=20%, signal=23%	434219/16154/14990/30925/20186/26904/30955/243958/69769/54651/233079/80861/77772/17916/57781/11690/14130/56221/67664/13618/83408/106759/64339/20963/104709/74748/107221/84112/232983/14465/56744/21943/12801/23960/27027/83490/72512/18143/268857/16803/170743/14991/268973/16835/26365/54215/21938/263876/66824/56644/24088/20361/21898/27007/19016/77777/16846/17082/140792/236312/17969/56792/12258/20375/338364/14087/19419/108960/63953/16975/75083/12628/231871/240518/106512/20821/56708/11596/19041/234311/12493/66271/13982/73914/242864/211550/16174/13057/17855/667823/52392/63873/16000/21929/15170/21803/234779/21937/67389/245945/22249/434341/78781/16423/15234/637515/19261/14131/22259/117149/66166/72179/11754/239081/16168/20128/16149/66294/55932/12913/217303/18760/12389/74637/26417/17089/15039/14825/246707/54396/14775/214763/12978/26440/76681
GO:0051988	regulation of attachment of spindle microtubules to kinetochore	13	-0.753937323102089	-2.0590656863477	0.00024333311860669	0.0358394921833567	0.0347838289545142	483	tags=31%, list=4%, signal=30%	229841/52276/54141/51944
GO:0042267	natural killer cell mediated cytotoxicity	47	0.577257537995661	1.8959005269866	0.000199707540420497	0.0358394921833567	0.0347838289545142	3648	tags=60%, list=29%, signal=43%	14990/30925/12481/26904/83408/104709/14991/26365/54215/27007/77777/16846/19419/16174/15170/21803/74732/15039/216869/16173/20723/12721/12928/16859/110557/15024/225825/11692
GO:0002228	natural killer cell mediated immunity	50	0.564655921737622	1.87940391028005	0.000230669371252398	0.0358394921833567	0.0347838289545142	3683	tags=58%, list=29%, signal=41%	14990/30925/12481/26904/83408/104709/14991/26365/54215/27007/77777/16846/19419/16174/15170/21803/74732/15039/216869/16173/20723/12721/12928/16859/110557/15024/225825/11692/13482
GO:2001057	reactive nitrogen species metabolic process	60	0.54626868630136	1.86361274673734	0.0002381613987664	0.0358394921833567	0.0347838289545142	2562	tags=42%, list=20%, signal=33%	11605/15465/19288/193034/69219/83408/106759/18390/19229/14991/56644/24088/21898/27007/77777/58994/16414/13982/217203/16000/16423/19261/12389/11652/11898
GO:0046651	lymphocyte proliferation	206	0.409908751525568	1.6316190792311	0.000207388711137789	0.0358394921833567	0.0347838289545142	2360	tags=31%, list=19%, signal=25%	14990/16019/30925/18173/14728/16842/320484/387510/243958/16197/12231/22780/12519/14130/24099/106759/20963/50723/16854/27027/17480/16331/26365/76088/14999/21938/66824/321019/23917/21898/74131/16846/108723/12902/18019/19419/94176/16414/16453/12767/15223/19264/22329/56708/11596/12493/14165/15201/54354/93675/16000/15170/21803/14960/17869/20556/16792/117149/105855/12367/16168/16149/217303
