ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006119	oxidative phosphorylation	103	-0.635285090630134	-3.27798084077026	1e-10	4.21769230769231e-08	4.07935222672065e-08	3112	tags=69%, list=21%, signal=55%	68943/26914/22273/13382/11639/225887/214917/66414/103172/66114/269523/11950/78330/54405/66046/66052/20463/11474/12867/66592/407785/68349/66091/75406/14297/66218/56312/67680/107197/68197/17991/67130/12868/66445/68342/17995/57320/70316/102631912/69702/66383/66916/66576/12858/12064/66108/104130/67273/66594/12857/66416/67184/68202/12859/68375/67264/102060/67530/66495/66694/22272/14004/108037/67267/66142/230075/12861/66377/226646/12866/66152
GO:0019646	aerobic electron transport chain	49	-0.734983571141355	-3.22571818706696	1e-10	4.21769230769231e-08	4.07935222672065e-08	2215	tags=71%, list=15%, signal=61%	66052/20463/12867/407785/68349/75406/66218/67680/107197/68197/12868/66445/17995/57320/69702/66383/66576/12858/12064/67273/66594/12857/66416/12859/68375/67264/67530/66694/22272/66142/230075/12861/226646/12866/66152
GO:0042773	ATP synthesis coupled electron transport	59	-0.680151419740041	-3.13419273710093	1e-10	4.21769230769231e-08	4.07935222672065e-08	3229	tags=73%, list=21%, signal=57%	12534/68943/22273/13382/225887/66414/78330/66052/20463/12867/407785/68349/75406/66218/67680/107197/68197/12868/66445/17995/57320/69702/66383/66576/12858/12064/67273/66594/12857/66416/12859/68375/67264/67530/66694/22272/14004/66142/230075/12861/226646/12866/66152
GO:0042775	mitochondrial ATP synthesis coupled electron transport	59	-0.680151419740041	-3.13419273710093	1e-10	4.21769230769231e-08	4.07935222672065e-08	3229	tags=73%, list=21%, signal=57%	12534/68943/22273/13382/225887/66414/78330/66052/20463/12867/407785/68349/75406/66218/67680/107197/68197/12868/66445/17995/57320/69702/66383/66576/12858/12064/67273/66594/12857/66416/12859/68375/67264/67530/66694/22272/14004/66142/230075/12861/226646/12866/66152
GO:0015986	proton motive force-driven ATP synthesis	43	-0.723243845855943	-3.07902079833891	1e-10	4.21769230769231e-08	4.07935222672065e-08	2857	tags=93%, list=19%, signal=76%	72900/68198/66925/69875/225887/214917/66414/66114/11950/78330/54405/66046/66052/66592/407785/68349/66091/75406/66218/67680/68197/17991/67130/68342/17995/70316/102631912/66916/66108/104130/67273/66416/67184/68202/68375/67264/66495/230075/66377/226646
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	43	-0.723243845855943	-3.07902079833891	1e-10	4.21769230769231e-08	4.07935222672065e-08	2857	tags=93%, list=19%, signal=76%	72900/68198/66925/69875/225887/214917/66414/66114/11950/78330/54405/66046/66052/66592/407785/68349/66091/75406/66218/67680/68197/17991/67130/68342/17995/70316/102631912/66916/66108/104130/67273/66416/67184/68202/68375/67264/66495/230075/66377/226646
GO:0009060	aerobic respiration	141	-0.553012789018811	-3.0066569744335	1e-10	4.21769230769231e-08	4.07935222672065e-08	2914	tags=57%, list=19%, signal=47%	13382/170718/11639/225887/18597/214917/66414/17449/103172/66114/269523/11950/11429/67834/78330/54405/66046/15929/66052/20463/11474/12867/66592/407785/68349/66091/75406/14297/66218/56312/67680/14533/107197/68197/17991/56451/235339/67130/12868/66445/56327/68342/17995/57320/70316/102631912/69702/66383/66916/66576/12858/12064/66108/104130/67273/66594/12857/66416/76824/67184/68202/17448/12859/68375/67264/102060/67530/66495/66694/22272/14004/108037/67267/66142/230075/12861/66377/226646/15251/12866/66152
GO:0022904	respiratory electron transport chain	78	-0.5902222277331	-2.99245316690899	1e-10	4.21769230769231e-08	4.07935222672065e-08	3545	tags=77%, list=24%, signal=59%	67636/227197/67892/215951/102632302/433806/72900/20512/66925/18810/12534/68943/22273/13382/225887/66414/93757/347740/78330/66052/20463/12867/14555/407785/68349/18432/75406/66218/67680/107197/68197/100126824/12868/66445/17995/57320/69702/66383/66576/12858/12064/110826/67273/66594/12857/66416/68202/12859/68375/67264/67530/66694/22272/14004/66142/230075/12861/226646/12866/66152
GO:0033108	mitochondrial respiratory chain complex assembly	83	-0.586438160605033	-2.96571181029952	1e-10	4.21769230769231e-08	4.07935222672065e-08	2857	tags=59%, list=19%, signal=48%	225887/66414/66278/93757/54405/66046/12856/76178/66359/20930/407785/68002/66271/68349/66091/75406/66218/68653/108755/107197/66706/68197/100126824/66272/17991/67130/208501/68342/70316/102631912/69702/66916/66108/104130/100503890/67273/67184/68202/66928/68375/67264/52469/66495/66379/67267/230075/66377/226646/66433
GO:0010257	NADH dehydrogenase complex assembly	50	-0.661845204300381	-2.92617915840061	1e-10	4.21769230769231e-08	4.07935222672065e-08	2424	tags=62%, list=16%, signal=52%	54405/66046/407785/66271/68349/66091/75406/66218/108755/66706/68197/17991/67130/208501/68342/70316/102631912/69702/66916/66108/104130/67273/67184/68202/66928/68375/67264/66495/230075/66377/226646
GO:0032981	mitochondrial respiratory chain complex I assembly	50	-0.661845204300381	-2.92617915840061	1e-10	4.21769230769231e-08	4.07935222672065e-08	2424	tags=62%, list=16%, signal=52%	54405/66046/407785/66271/68349/66091/75406/66218/108755/66706/68197/17991/67130/208501/68342/70316/102631912/69702/66916/66108/104130/67273/67184/68202/66928/68375/67264/66495/230075/66377/226646
GO:0022900	electron transport chain	87	-0.556266946614486	-2.83045965767296	1e-10	4.21769230769231e-08	4.07935222672065e-08	3289	tags=64%, list=22%, signal=51%	72900/20512/66925/18810/12534/68943/22273/13382/225887/66414/93757/347740/78330/66052/20463/12867/14555/407785/68349/18432/75406/66218/67680/107197/68197/100126824/12868/66445/17995/57320/69702/66383/66576/12858/12064/110826/67273/66594/12857/66416/68202/12859/68375/71872/67264/67530/66495/66694/22272/14004/66142/230075/12861/226646/12866/66152
GO:0045333	cellular respiration	185	-0.450130974307228	-2.49863818078782	1e-10	4.21769230769231e-08	4.07935222672065e-08	3666	tags=58%, list=24%, signal=45%	11651/433806/71701/58805/67885/72900/68198/20512/78920/66925/69875/18810/12534/68015/68943/26914/52637/22273/13382/170718/11639/225887/18597/214917/66414/93757/17449/103172/66114/347740/269523/11950/11429/67834/78330/54405/66046/15929/66052/20463/11474/66494/12867/66592/14555/407785/68002/68349/66091/18432/75406/14297/66218/56312/67680/14533/107197/68197/100126824/17991/56451/235339/67130/12868/66445/56327/68342/17995/57320/70316/102631912/69702/66383/66916/66576/12858/12064/110826/66108/104130/67273/66594/12857/66416/76824/67184/68202/17448/12859/68375/67264/102060/67530/66495/66694/22272/14004/108037/67267/66142/230075/12861/66377/226646/12028/15251/12866/66152
GO:0009141	nucleoside triphosphate metabolic process	201	-0.374761563170555	-2.07318594730386	4.16906146834266e-10	1.52393093539485e-07	1.4739460826323e-07	2943	tags=43%, list=20%, signal=35%	22228/56045/57319/11639/225887/69719/69802/214917/66414/22169/80914/66114/21915/269523/11950/78330/16548/54405/18103/66046/66052/11636/11474/14635/66592/14555/407785/12257/68349/14751/66091/93685/18102/243853/75406/66218/11637/56312/67680/215446/107197/15481/68197/56632/17991/67130/74246/12015/56327/68342/17995/70316/15937/23918/102631912/16434/66916/18746/66108/104130/110119/67273/19384/22245/66416/67184/68202/26380/68375/18641/21991/67264/353204/66495/83429/230075/16833/66377/226646/74747/18648/11674/15251/18655/11486/14433/13806
GO:0032543	mitochondrial translation	119	-0.448148058143256	-2.30662511206034	4.96731377443187e-10	1.60210478971823e-07	1.54955583873608e-07	3576	tags=50%, list=24%, signal=38%	50529/27397/66121/76563/94064/216767/68463/66419/66258/229487/67994/224805/24030/67681/67212/68611/64657/66448/68537/107732/66973/67417/56284/66407/28028/64656/52443/27398/68565/94065/66845/66399/101122/71984/14548/66163/66292/67308/70120/233870/68572/94066/68836/67840/66416/69163/107734/102060/52469/79044/64659/108037/66047/66077/67267/68735/66493/94067/121022
GO:0046034	ATP metabolic process	162	-0.383537682958822	-2.11945568462512	1.13317754491227e-08	2.58883853281416e-06	2.50392476810001e-06	2861	tags=43%, list=19%, signal=35%	11639/225887/69802/214917/66414/66114/269523/11950/78330/16548/54405/66046/66052/11636/11474/14635/66592/14555/407785/12257/68349/14751/66091/243853/75406/66218/56312/67680/107197/15481/68197/56632/17991/67130/74246/12015/56327/68342/17995/70316/15937/102631912/66916/18746/66108/104130/110119/67273/66416/67184/68202/26380/68375/18641/21991/67264/353204/66495/83429/230075/16833/66377/226646/74747/18648/11674/15251/18655/14433/13806
GO:0019693	ribose phosphate metabolic process	330	-0.280839241571528	-1.69879485084023	7.3782460289546e-08	1.55595857602916e-05	1.50492321837544e-05	2106	tags=27%, list=14%, signal=24%	67763/11636/11474/14635/56409/66592/208715/22333/14555/407785/15357/12257/68349/14751/27273/66091/93685/236900/18102/243853/68603/23972/75406/66218/11637/100705/56312/67680/50790/21881/107197/104158/15481/68197/74637/56632/17991/56451/235339/67130/74246/110639/12015/56327/68342/17995/106564/15254/70316/15937/23918/102631912/16434/60525/66916/14381/192156/18746/66108/104130/110119/67273/19384/54391/22245/66416/67184/68202/26380/26897/68375/18641/21991/67264/353204/66495/83429/230075/16833/66377/14104/226646/74747/18648/11674/15251/18655/11486/14433/13806
GO:0006986	response to unfolded protein	90	-0.444703856556636	-2.26548748019293	2.15794642398692e-07	4.22572151525725e-05	4.08711807670906e-05	2564	tags=33%, list=17%, signal=28%	229317/110213/26427/108687/67878/20856/56424/11911/12018/22393/72265/17872/15510/15507/22433/50762/68366/71853/28146/15519/78943/74840/80888/14828/12913/12028/13163/27362/109815/17341
GO:0006457	protein folding	145	-0.360441258340468	-1.95665129281734	7.65718222438317e-07	0.000121423814588288	0.000117441119996889	4043	tags=52%, list=27%, signal=39%	67466/19035/12462/56445/52653/12468/228005/72599/12539/58233/76299/18087/22791/18221/67199/12010/52838/68015/72429/14827/30931/14228/56330/15512/56031/30933/66101/21454/69253/17713/217737/83945/110920/53381/105245/80294/109054/14232/12469/56612/70369/15526/56351/56424/21371/18637/193740/12464/66411/15481/93684/12304/12330/15510/15507/15511/56327/12465/14976/64136/268373/15516/22027/12461/69387/12017/12317/68559/15519/12955/18453/14828/15528/14227/68833/66120
GO:0034976	response to endoplasmic reticulum stress	211	-0.324582723276845	-1.80002773133955	7.75092743131514e-07	0.000121423814588288	0.000117441119996889	2256	tags=27%, list=15%, signal=23%	69038/50760/54609/108687/230784/67878/66597/20856/56424/11911/12018/68944/224045/56312/22213/22393/52231/225896/17872/224727/12282/12304/12330/17155/105193/57320/53313/16476/22433/80795/50762/64136/22027/17118/68366/14251/71853/22259/67890/28146/12317/14950/18453/78943/74840/14828/12913/54197/12638/12028/63913/27362/109815/228775/66212/17341/11687
