ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0098609	cell-cell adhesion	485	-0.408627408232721	-1.77677126918541	4.53886026077698e-09	2.1999855683986e-05	1.9268656243909e-05	1913	tags=31%, list=19%, signal=26%	12554/23871/57765/11540/108723/15018/19013/216033/13875/18762/71890/94212/67547/15519/100038947/74769/20354/16842/117197/14251/330814/73182/12552/14735/15205/12043/19122/12703/16190/20343/243910/18534/16362/12504/76884/21940/21947/279653/241226/27375/241568/12161/56079/13511/53883/18163/20737/12550/16410/14190/242202/12511/353310/27205/20563/109700/13176/58205/16416/15510/64817/16404/16777/17075/67703/104099/381484/15039/234695/20682/68810/15894/74015/12507/224024/17131/71228/14732/57432/22637/192897/14462/22339/14726/16403/117606/13052/20779/216799/381924/233765/14538/20304/12527/317757/71740/20677/67374/54725/56460/20296/14990/545370/18208/268902/110351/15007/16590/16419/13655/17470/13837/192216/20733/331461/16400/114774/12484/21825/23965/16963/13051/22329/11735/12399/171285/16456/270120/80883/228788/54698/12739/19268/76905/239857/18772/18132/319387/192167/15117/23964/238205/54371/13841/227485/208936/320840/16768/16175/16176
GO:0030855	epithelial cell differentiation	313	-0.434139910674067	-1.85498818363588	4.71616626767904e-08	9.24942329387655e-05	8.10114213766608e-05	1600	tags=27%, list=16%, signal=24%	110253/22337/15205/13617/21804/14581/234564/14173/18534/18591/12822/27428/54616/24064/27375/12161/20482/12550/70465/17920/353310/13405/67888/24075/55978/20682/15894/218624/71228/19116/12443/14609/22061/14462/22339/329421/14726/13869/21345/18787/70350/20779/195733/11819/15903/223650/15404/20677/16450/21812/71529/21420/13819/252973/18213/104158/14048/12724/12575/20733/230103/12484/21386/73750/13711/16531/16456/16669/14104/12739/69693/110310/18132/19126/18667/22117/16918/55948/19143/12945/207920/21418/16772/16175/16176
GO:0009617	response to bacterium	369	-0.420441925971824	-1.81400668502532	5.72483389346599e-08	9.24942329387655e-05	8.10114213766608e-05	1860	tags=30%, list=19%, signal=25%	15439/101401/268857/12475/17130/71648/26930/100101484/17472/67067/22249/20846/100702/71069/14129/23961/54624/21355/18038/79464/54197/80385/13617/15900/23960/14581/114643/18534/12504/214855/17476/16912/108960/56615/246727/16855/93961/12161/236573/244183/20737/16410/70312/20496/17975/12511/99899/18035/70310/58205/15162/69601/12482/109934/11421/15039/22780/631323/68810/57738/14962/50778/19116/20716/14013/74748/15370/16162/18787/229898/70266/216799/67701/57757/17750/12266/20723/231507/14938/634650/11433/110095/21835/15959/11537/20296/14990/17319/545370/13106/15007/246256/20558/110257/20249/12484/66102/13051/319190/171285/14038/76905/16819/17002/14939/12945/21418/16175/16176/12350/11770
GO:0050900	leukocyte migration	214	-0.477875557952363	-1.99447053753439	7.8074028941669e-08	9.46062045700673e-05	8.28611996636187e-05	1421	tags=30%, list=14%, signal=26%	20343/18591/54324/319430/20307/12766/171095/20737/20496/64095/27205/20563/109700/19252/16416/17965/16404/109934/56532/104099/102103/15894/20303/14462/22339/74748/170758/18787/16403/13052/13123/20304/12527/15404/67374/54725/20296/19242/17319/12261/65256/20293/16590/57266/17470/16400/114774/12484/66102/14525/21825/381485/16963/13051/22329/14254/20306/16456/28240/54698/54371/216892/16175/16176
GO:0001906	cell killing	117	-0.539533861374995	-2.10603739046494	1.0745672755943e-07	0.000104168551696111	9.12364173151959e-05	1655	tags=38%, list=16%, signal=32%	14129/21355/80385/55960/243655/16643/70450/20307/15516/16641/14190/56532/15039/631323/20400/320407/18646/11891/17057/229898/22122/30925/13421/12266/20723/72310/14938/317757/54725/20296/14990/15007/246256/57266/58179/667612/13051/319190/171285/17059/54698/17002/14939/16768
GO:0050872	white fat cell differentiation	17	-0.817679264998719	-2.21867326661561	3.22994695043311e-07	0.000260925881145821	0.000228532913177135	669	tags=41%, list=7%, signal=38%	70673/246747/20249/230103/18627/11770/231991
GO:0030856	regulation of epithelial cell differentiation	81	-0.578022008055866	-2.15059540361298	7.02315045636514e-07	0.000486303003742883	0.000425930312639408	1679	tags=37%, list=17%, signal=31%	16842/22337/15205/14173/54616/24064/12161/67888/20682/19116/12443/22061/14462/22339/18787/195733/223650/15404/21812/12484/21386/16456/18132/19126/16918/55948/12945/207920/16175/16176
GO:0034330	cell junction organization	442	-0.380610636893734	-1.64877015952744	1.68503662379166e-06	0.000838215911049314	0.00073415455447469	1380	tags=22%, list=14%, signal=20%	54409/18591/18011/17999/104156/242662/27375/241568/12161/13511/18163/12550/16410/20346/12323/15481/17920/353310/20563/16416/13518/64817/69601/11421/67703/16917/17131/71228/11603/56320/14609/192897/22339/319613/13869/170758/11856/70237/53624/103172/380702/106347/382018/13052/327814/20779/195733/58234/233765/234214/12266/208177/12527/54725/56460/21812/21826/19242/14396/14758/239027/18208/252973/13048/18213/107581/13837/331461/16400/18191/21809/13823/110380/13051/11735/73750/16456/16776/80883/211134/12739/19268/69693/210274/14086/319387/192167/19699/238205/67252/13841/227485/18430/16373/320840/16176/72289
GO:0001909	leukocyte mediated cytotoxicity	88	-0.558076560770888	-2.09146089569	2.2628414207329e-06	0.000913999363857698	0.000800529776299631	1655	tags=39%, list=16%, signal=33%	14129/21355/80385/55960/243655/16643/70450/16641/56532/15039/20400/320407/18646/11891/17057/22122/30925/13421/20723/72310/317757/54725/20296/14990/15007/246256/58179/667612/13051/171285/17059/54698/14939/16768
GO:0030155	regulation of cell adhesion	490	-0.373502431564227	-1.62557149880717	2.11466953477069e-06	0.000913999363857698	0.000800529776299631	1913	tags=28%, list=19%, signal=23%	12554/23871/57765/11540/108723/15018/19013/15586/14369/12182/18762/71890/94212/15519/100038947/74769/20354/16842/68732/14251/56348/110253/15205/12043/12305/19122/12703/70450/16190/243910/18534/16362/18591/12504/21940/21947/12161/53883/12766/20737/12550/16410/14190/242202/12511/353310/27205/13405/58205/19252/16416/15510/16777/17075/381484/15039/234695/20682/15894/74015/30963/50706/12507/17131/71228/14732/68813/13867/19116/57432/22637/56320/14462/22339/14726/170758/11856/53624/18787/16403/22122/74199/20779/216799/14538/20304/208177/18552/12527/317757/11433/15404/20677/67374/16450/20296/14990/19242/12261/14758/110351/15007/107581/13655/13837/20733/16400/114774/12484/21825/23965/16963/22329/76509/11735/12399/171285/16456/16776/228788/21817/54698/54357/18132/15117/94214/54371/268780/13841/208936/16772/16768/16175/17829/16176
