ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006631	fatty acid metabolic process	226	-0.379682622508362	-1.89839922191518	7.58245765454693e-06	0.00906482812601085	0.00882558163317397	1902	tags=34%, list=19%, signal=28%	16952/12908/67856/11651/270076/229211/58805/27273/13382/384783/56473/14245/111175/26922/232078/14726/21391/235674/329910/69116/217700/18534/234564/97212/110935/11370/207952/11450/67528/74134/110826/104158/110460/18627/14732/74551/20787/18605/26897/54608/60525/14261/104112/11812/19079/78894/52665/66400/171210/26457/13167/15108/225579/18823/17319/170439/67885/70316/26378/70025/16592/13106/625249/107476/228026/272428/55990/106648/407785/11622/19225/20249/14104/20216/100705/11770
GO:0032787	monocarboxylic acid metabolic process	336	-0.346948153275686	-1.79478511725773	5.90688697919725e-06	0.00906482812601085	0.00882558163317397	1854	tags=30%, list=19%, signal=26%	16952/12908/67856/11651/270076/229211/58805/70456/15277/27273/13382/18642/384783/72141/56473/14245/14433/111175/26922/232078/14726/21391/56050/235674/329910/17436/69116/217700/18534/68263/234564/97212/110935/11370/207952/11450/216963/243853/67528/74134/110826/104158/110460/18627/14732/74551/20787/18605/26897/17117/54608/60525/13123/14261/104112/11812/19079/78894/20501/52665/18597/66400/16832/11674/171210/26457/13167/15108/225579/394432/18823/269642/17319/19659/170439/67885/70316/26378/70025/15212/270685/16592/13106/102448/625249/107476/228026/272428/55990/74747/106648/407785/11622/330064/19225/20249/394433/14104/16590/20216/100705/11770
GO:0009617	response to bacterium	331	-0.346160340969304	-1.79126648744523	7.24480916076425e-06	0.00906482812601085	0.00882558163317397	1279	tags=21%, list=13%, signal=18%	16145/17975/65969/80861/15018/14455/20778/13617/11450/20846/66102/216963/60440/76497/67067/217480/101401/18605/14962/231507/97165/16855/19222/240913/15900/634650/14109/20556/55932/21835/545370/17319/11537/18035/54197/13106/20496/11727/17002/100038882/15957/18578/12475/50931/18828/631323/11622/100702/14038/19225/20249/12945/18125/15007/15162/66848/20312/15370/57738/67701/76905/15122/16819/110257/19664/20309/12350/11770
GO:0006082	organic acid metabolic process	481	-0.313474564478061	-1.69803572400472	3.94297510533894e-06	0.00906482812601085	0.00882558163317397	2115	tags=30%, list=21%, signal=25%	50527/110391/212647/18563/26384/67460/74155/68801/110208/107747/19013/14630/15937/74776/16952/12908/67856/11651/270076/229211/58805/70456/66112/69219/15277/27273/13382/18642/384783/67834/72141/56473/14245/14433/111175/14629/26922/14645/232078/192166/14726/14719/21391/56050/235674/329910/17436/14873/69116/66128/217700/69051/18534/68263/234564/17449/104923/68133/97212/110935/11370/207952/11450/69719/216963/243853/107239/27053/67528/74134/110826/104158/110460/18627/14732/74551/20787/18605/70503/26897/17117/54608/60525/13123/14261/104112/11812/67475/57344/19079/78894/20501/52665/18597/66400/16832/11674/171210/26457/13167/15108/225579/209027/394432/18823/269642/17319/216456/26432/19659/170439/67885/70316/26378/70025/15212/270685/16592/13106/102448/625249/67375/107476/228026/229517/272428/55990/74747/106648/224814/320452/407785/11622/330064/19225/20249/18125/394433/14104/104816/16590/20216/14600/100705/11770
GO:0009060	aerobic respiration	109	-0.461486468265568	-2.05635013131937	1.3164699975844e-05	0.0101173051969161	0.00985028085275038	2321	tags=48%, list=24%, signal=37%	66142/66046/54405/67130/12857/12359/68077/14297/67184/66383/11651/58805/27369/13382/12868/67834/66594/68202/230075/66128/12861/68263/17449/67472/66576/22272/67264/76824/12866/17991/12869/104112/66377/18597/67892/68197/69702/66114/14004/66592/63873/11639/12064/13063/70316/104130/12122/12859/68550/407785/68375/103172
GO:0022613	ribonucleoprotein complex biogenesis	271	-0.354262297121751	-1.80379853752104	1.69256465025781e-05	0.0101173051969161	0.00985028085275038	2467	tags=40%, list=25%, signal=31%	70767/66254/227656/28109/103573/56351/236732/433864/230737/213773/103136/53890/16865/75062/106707/66942/229504/20643/27993/217038/24015/269470/13669/226982/53414/68077/78651/67842/353258/65961/59028/218629/227522/67205/55989/27374/212880/69878/72662/100019/50911/69241/67204/107071/14645/228889/216156/69663/57315/18148/78394/108013/234374/52202/73674/18813/24014/17975/382137/14113/50529/71151/67684/66409/69902/83485/59050/66164/68011/193116/70930/104662/70465/67134/19384/100608/15519/69731/66583/217011/67920/208366/235036/68184/67236/27966/66249/14109/56095/101612/20935/75416/230082/224823/67949/20222/229937/27998/20174/68845/69713/12261/52530/55944/17724/208144/17725/71952
GO:0048732	gland development	230	-0.362302537629207	-1.8145630225193	4.20059353771468e-05	0.0200872382973516	0.0195570791761179	1353	tags=21%, list=14%, signal=19%	18534/12577/353310/216439/14609/15288/22724/13617/21386/21809/104156/14173/70465/15451/20583/74551/94109/105782/13123/18591/22337/78894/68964/11845/14632/56532/15400/394432/54725/12550/18612/20496/20807/216233/12443/19242/21420/11622/20474/20249/18667/14104/14462/20665/21817/12994/16772/11839/19664
GO:0006119	oxidative phosphorylation	79	-0.491339890171106	-2.06238425599948	5.00690757866914e-05	0.0217663927647235	0.0211919160004341	1898	tags=51%, list=19%, signal=41%	66142/66046/54405/67130/12857/14297/67184/66383/58805/27369/13382/12868/66594/68202/230075/12861/66576/22272/67264/12866/17991/12869/66377/67892/68197/69702/66114/14004/66592/11639/12064/13063/70316/104130/12122/12859/68550/407785/68375/103172
GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	18	0.754514860174091	2.28337857713098	8.40477153967621e-05	0.0287082982162369	0.0279506049022465	1	tags=6%, list=0%, signal=6%	14198
GO:0072330	monocarboxylic acid biosynthetic process	108	-0.424055546080428	-1.88897497475694	0.000136319353177892	0.0434586097931119	0.042311613972338	1564	tags=33%, list=16%, signal=28%	111175/26922/232078/21391/56050/69116/234564/11370/207952/104158/18627/20787/17117/54608/60525/13123/104112/11812/19079/16832/15108/18823/17319/19659/170439/70316/26378/70025/16592/107476/272428/19225/20249/14104/20216/100705
