id	Description	p.adjust	NES	negLogP
GO:0001909	leukocyte mediated cytotoxicity	0.0125769402947194	1.90715088513049	1.90042500076219
GO:0001910	regulation of leukocyte mediated cytotoxicity	0.026051815768226	1.89064185805849	1.58416200170653
GO:0002228	natural killer cell mediated immunity	0.0358394921833567	1.87940391028005	1.44563815256818
GO:0002250	adaptive immune response	0.00349358055990894	1.72500759848215	2.45672923771935
GO:0002252	immune effector process	9.13029246753114e-05	1.75529936839555	4.03951531063651
GO:0002366	leukocyte activation involved in immune response	0.0460498860961174	1.59230105921855	1.33677143968839
GO:0002367	cytokine production involved in immune response	0.026051815768226	1.78145509835481	1.58416200170653
GO:0002440	production of molecular mediator of immune response	0.0120261715405637	1.72647252950204	1.91987260569683
GO:0002697	regulation of immune effector process	4.37108031191853e-05	1.90854415968106	4.35941121393985
GO:0002700	regulation of production of molecular mediator of immune response	0.0328062038168422	1.73705805532616	1.48404402126838
GO:0002768	immune response-regulating cell surface receptor signaling pathway	0.0363788450117863	1.64242115560287	1.43915109342456
GO:0006809	nitric oxide biosynthetic process	0.0190028844780786	1.90089081639805	1.72118047179284
GO:0006954	inflammatory response	0.00349358055990894	1.59222136094953	2.45672923771935
GO:0009617	response to bacterium	0.0496162489084657	1.49080902743299	1.30437607238815
GO:0031347	regulation of defense response	0.0328062038168422	1.47054303347681	1.48404402126838
GO:0032609	type II interferon production	0.0405901239688776	1.77495670101427	1.39157962227431
GO:0032649	regulation of type II interferon production	0.00778770364962248	1.92032963026928	2.10859058331822
GO:0032943	mononuclear cell proliferation	0.0358394921833567	1.61732588149852	1.44563815256818
GO:0042267	natural killer cell mediated cytotoxicity	0.0358394921833567	1.8959005269866	1.44563815256818
GO:0045428	regulation of nitric oxide biosynthetic process	0.0154127137567187	1.97546037931918	1.8121208871865
GO:0046209	nitric oxide metabolic process	0.0181831399960192	1.8721908803398	1.74033111752812
GO:0046651	lymphocyte proliferation	0.0358394921833567	1.6316190792311	1.44563815256818
GO:0050778	positive regulation of immune response	0.00116009314171199	1.63097208007657	2.93550714068028
GO:0051249	regulation of lymphocyte activation	0.00349358055990894	1.65552840614637	2.45672923771935
GO:0080164	regulation of nitric oxide metabolic process	0.0169077195285912	1.97515778887267	1.77191496501829
GO:2001057	reactive nitrogen species metabolic process	0.0358394921833567	1.86361274673734	1.44563815256818
