id	Description	p.adjust	NES	negLogP
GO:0006816	calcium ion transport	0.00259404231012285	1.66945881487654	2.58602294463473
GO:0008015	blood circulation	0.00102218260452982	1.65733908073551	2.9904715141272
GO:0034220	monoatomic ion transmembrane transport	0.00259404231012285	1.52764524661778	2.58602294463473
GO:0034762	regulation of transmembrane transport	0.0251818093603979	1.49248502555651	1.59891306823112
GO:0035150	regulation of tube size	0.00934016079902831	1.76956121750489	2.02964564694661
GO:0035296	regulation of tube diameter	0.00934016079902831	1.76956121750489	2.02964564694661
GO:0043269	regulation of monoatomic ion transport	0.00102218260452982	1.66111788010074	2.9904715141272
GO:0050482	arachidonic acid secretion	0.0338980941291954	1.86087370355861	1.4698247186831
GO:0070588	calcium ion transmembrane transport	0.00259404231012285	1.7334983423807	2.58602294463473
GO:0071715	icosanoid transport	0.0251818093603979	1.93392512625417	1.59891306823112
GO:0097553	calcium ion transmembrane import into cytosol	0.0440670324347386	1.66250432264475	1.35588619479555
GO:0097746	blood vessel diameter maintenance	0.00934016079902831	1.76956121750489	2.02964564694661
GO:0099177	regulation of trans-synaptic signaling	0.00259404231012285	1.57418883015216	2.58602294463473
GO:0099537	trans-synaptic signaling	0.0046959788486847	1.49702272133696	2.32827386787633
GO:1903169	regulation of calcium ion transmembrane transport	0.013920485939372	1.69664259841357	1.85634560401394
GO:1903522	regulation of blood circulation	0.00242510808634046	1.80092578329036	2.61526890025548
GO:1903963	arachidonate transport	0.0338980941291954	1.86087370355861	1.4698247186831
