id	Description	p.adjust	NES	negLogP
GO:0006090	pyruvate metabolic process	0.00883602521603644	-1.76047850352966	2.05374305341968
GO:0006119	oxidative phosphorylation	4.21769230769231e-08	-3.27798084077026	7.37492510642336
GO:0006364	rRNA processing	0.0332933995996635	-1.53893157561856	1.47764185663087
GO:0006986	response to unfolded protein	4.22572151525725e-05	-2.26548748019293	4.37409912734339
GO:0009060	aerobic respiration	4.21769230769231e-08	-3.0066569744335	7.37492510642336
GO:0009141	nucleoside triphosphate metabolic process	1.52393093539485e-07	-2.07318594730386	6.81703471479207
GO:0010257	NADH dehydrogenase complex assembly	4.21769230769231e-08	-2.92617915840061	7.37492510642336
GO:0015986	proton motive force-driven ATP synthesis	4.21769230769231e-08	-3.07902079833891	7.37492510642336
GO:0019320	hexose catabolic process	0.00867446070403347	-2.11603046043787	2.06175751602329
GO:0019646	aerobic electron transport chain	4.21769230769231e-08	-3.22571818706696	7.37492510642336
GO:0019674	NAD metabolic process	0.00508243933317544	-2.0797339845391	2.29392779663963
GO:0019693	ribose phosphate metabolic process	1.55595857602916e-05	-1.69879485084023	4.80800196932668
GO:0022613	ribonucleoprotein complex biogenesis	0.000149077377754857	-1.6364132560625	3.82658825501541
GO:0022900	electron transport chain	4.21769230769231e-08	-2.83045965767296	7.37492510642336
GO:0022904	respiratory electron transport chain	4.21769230769231e-08	-2.99245316690899	7.37492510642336
GO:0030216	keratinocyte differentiation	0.0190153545237253	-1.79011802797765	1.72089557315735
GO:0032543	mitochondrial translation	1.60210478971823e-07	-2.30662511206034	6.79530908119309
GO:0032981	mitochondrial respiratory chain complex I assembly	4.21769230769231e-08	-2.92617915840061	7.37492510642336
GO:0033108	mitochondrial respiratory chain complex assembly	4.21769230769231e-08	-2.96571181029952	7.37492510642336
GO:0034976	response to endoplasmic reticulum stress	0.000121423814588288	-1.80002773133955	3.91569612767604
GO:0035967	cellular response to topologically incorrect protein	0.00129014441141233	-2.01343639282769	2.88936167453077
GO:0042773	ATP synthesis coupled electron transport	4.21769230769231e-08	-3.13419273710093	7.37492510642336
GO:0042775	mitochondrial ATP synthesis coupled electron transport	4.21769230769231e-08	-3.13419273710093	7.37492510642336
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	4.21769230769231e-08	-3.07902079833891	7.37492510642336
GO:0045047	protein targeting to ER	0.000506096733970978	-2.33314340890008	3.29576646534476
GO:0045103	intermediate filament-based process	0.0138402706505263	-2.02552041430582	1.85885541704105
GO:0045104	intermediate filament cytoskeleton organization	0.0100895303991589	-2.02759505356887	1.99612904682553
GO:0045333	cellular respiration	4.21769230769231e-08	-2.49863818078782	7.37492510642336
GO:0046034	ATP metabolic process	2.58883853281416e-06	-2.11945568462512	5.58689503588982
GO:0046184	aldehyde biosynthetic process	0.020703403838411	-2.15935616300843	1.68395824648937
GO:0046364	monosaccharide biosynthetic process	0.0159493093569106	-1.83951980779803	1.79725811818528
GO:0061615	glycolytic process through fructose-6-phosphate	0.0202414458110986	-2.18993304707242	1.69375846982847
GO:0072599	establishment of protein localization to endoplasmic reticulum	0.00122899490751388	-2.25618693666815	2.9104499166605
GO:0097193	intrinsic apoptotic signaling pathway	0.0115700027381097	-1.47007435139499	1.93666653826987
GO:0140053	mitochondrial gene expression	0.00121415750068251	-1.80657950687009	2.9157249728649
GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	0.0260507551440638	-1.79117019020971	1.58417968310739
