id	Description	p.adjust	NES	negLogP
GO:0001656	metanephros development	0.0230750390892005	-1.96369419834098	1.63685755460499
GO:0001763	morphogenesis of a branching structure	0.00592170596690962	-1.87012134217428	2.22755316062772
GO:0001906	cell killing	0.000104168551696111	-2.10603739046494	3.98226337399497
GO:0001909	leukocyte mediated cytotoxicity	0.000913999363857698	-2.09146089569	3.03905410653443
GO:0001910	regulation of leukocyte mediated cytotoxicity	0.0133313843480171	-2.01141590781273	1.87512475054951
GO:0002449	lymphocyte mediated immunity	0.0190372276858343	-1.71585736409763	1.72039629588888
GO:0002456	T cell mediated immunity	0.0462226882839262	-1.77184639428555	1.33514479981486
GO:0002548	monocyte chemotaxis	0.0200883735546089	-2.03468047925586	1.6970552242698
GO:0002683	negative regulation of immune system process	0.0366390450509861	-1.50315227454995	1.436055854177
GO:0002685	regulation of leukocyte migration	0.00864743056900365	-1.87020035162675	2.06311291628899
GO:0002690	positive regulation of leukocyte chemotaxis	0.0482464619188891	-1.75623855620577	1.31653452947962
GO:0002708	positive regulation of lymphocyte mediated immunity	0.0342842037620005	-1.7720119730608	1.4649059324108
GO:0006084	acetyl-CoA metabolic process	0.0218963083987024	-1.9680563653277	1.65962909873132
GO:0006119	oxidative phosphorylation	0.0127436072546677	-1.94761631761226	1.89470762152574
GO:0006631	fatty acid metabolic process	0.0150078843804944	-1.6931571879236	1.82368052472105
GO:0006935	chemotaxis	0.0462226882839262	-1.54121422010636	1.33514479981486
GO:0006954	inflammatory response	0.0230277432292083	-1.48737750367724	1.63774862178941
GO:0007589	body fluid secretion	0.0340862133940825	-1.84879368287504	1.46742124146383
GO:0007595	lactation	0.0439727477437788	-1.91838034778507	1.35681639558848
GO:0008544	epidermis development	0.0190372276858343	-1.71724962715886	1.72039629588888
GO:0009060	aerobic respiration	0.0324340754999816	-1.73377808310424	1.4889984766756
GO:0009617	response to bacterium	9.24942329387655e-05	-1.81400668502532	4.03388534489287
GO:0015732	prostaglandin transport	0.0439727477437788	-1.80685729003725	1.35681639558848
GO:0015908	fatty acid transport	0.0344060158918579	-1.89466044348781	1.46336561439906
GO:0019216	regulation of lipid metabolic process	0.0175392437928633	-1.69808280502259	1.7559891352383
GO:0030029	actin filament-based process	0.0363017300885193	-1.44564726859124	1.44007267661699
GO:0030036	actin cytoskeleton organization	0.0278688582878367	-1.47304872825516	1.55488082279904
GO:0030101	natural killer cell activation	0.0439727477437788	-1.74522590498886	1.35681639558848
GO:0030155	regulation of cell adhesion	0.000913999363857698	-1.62557149880717	3.03905410653443
GO:0030198	extracellular matrix organization	0.00592170596690962	-1.79321028001837	2.22755316062772
GO:0030855	epithelial cell differentiation	9.24942329387655e-05	-1.85498818363588	4.03388534489287
GO:0030856	regulation of epithelial cell differentiation	0.000486303003742883	-2.15059540361298	3.31309304792117
GO:0030879	mammary gland development	0.00592170596690962	-1.95525848158286	2.22755316062772
GO:0031341	regulation of cell killing	0.0190372276858343	-1.94512630980736	1.72039629588888
GO:0031347	regulation of defense response	0.0250545883135332	-1.45352366155041	1.6011127290073
GO:0031589	cell-substrate adhesion	0.0422632348153497	-1.55237701472956	1.3740372652418
GO:0031640	killing of cells of another organism	0.0462226882839262	-1.88788256610589	1.33514479981486
GO:0032103	positive regulation of response to external stimulus	0.039600562472447	-1.49502685038536	1.40229864546476
GO:0032310	prostaglandin secretion	0.0340862133940825	-1.81374587683153	1.46742124146383
GO:0032623	interleukin-2 production	0.00592170596690962	-2.07310977988761	2.22755316062772
GO:0032663	regulation of interleukin-2 production	0.0170708323890296	-2.03993737848865	1.76774530178224
GO:0032890	regulation of organic acid transport	0.0156402996237637	-1.98441123896105	1.80575493134645
GO:0033993	response to lipid	0.0175392437928633	-1.4933987965291	1.7559891352383
GO:0034329	cell junction assembly	0.0115818844958946	-1.66918613517428	1.93622077052385
GO:0034330	cell junction organization	0.000838215911049314	-1.64877015952744	3.076644099628
GO:0034440	lipid oxidation	0.0439727477437788	-1.73741734534766	1.35681639558848
GO:0035272	exocrine system development	0.0439727477437788	-1.912549904318	1.35681639558848
GO:0035383	thioester metabolic process	0.0226392652778416	-1.91087978396184	1.6451376716073
GO:0035384	thioester biosynthetic process	0.0439727477437788	-1.83987940461775	1.35681639558848
GO:0040017	positive regulation of locomotion	0.00816113223751465	-1.60948831055479	2.08824958507047
GO:0042110	T cell activation	0.0439727477437788	-1.44833216640493	1.35681639558848
GO:0042267	natural killer cell mediated cytotoxicity	0.00592170596690962	-2.05218047560569	2.22755316062772
GO:0042269	regulation of natural killer cell mediated cytotoxicity	0.0150078843804944	-2.02772109843265	1.82368052472105
GO:0042330	taxis	0.0462226882839262	-1.54121422010636	1.33514479981486
GO:0044283	small molecule biosynthetic process	0.0439727477437788	-1.45793836862618	1.35681639558848
GO:0045229	external encapsulating structure organization	0.00592170596690962	-1.79321028001837	2.22755316062772
GO:0048568	embryonic organ development	0.0147045552018291	-1.64557132437074	1.83254810793439
GO:0048598	embryonic morphogenesis	0.0484897812795498	-1.47782822262702	1.31434977483063
GO:0048729	tissue morphogenesis	0.00595859765198522	-1.64124093825612	2.2248559388615
GO:0050870	positive regulation of T cell activation	0.0466334201501735	-1.63224940215642	1.33130273170662
GO:0050900	leukocyte migration	9.46062045700673e-05	-1.99447053753439	4.02408038027706
GO:0051450	myoblast proliferation	0.0363707360516438	-1.84565355963473	1.43924790983523
GO:0060445	branching involved in salivary gland morphogenesis	0.0462226882839262	-1.79683790342088	1.33514479981486
GO:0060485	mesenchyme development	0.0270486203313391	-1.67934272931569	1.56785488204604
GO:0060537	muscle tissue development	0.0352843039066984	-1.60904238943271	1.45241844596293
GO:0061061	muscle structure development	0.0270486203313391	-1.50864781042147	1.56785488204604
GO:0071616	acyl-CoA biosynthetic process	0.0439727477437788	-1.83987940461775	1.35681639558848
GO:0072080	nephron tubule development	0.039600562472447	-1.83918970643842	1.40229864546476
GO:0098609	cell-cell adhesion	2.1999855683986e-05	-1.77677126918541	4.65758016808025
GO:0141060	disruption of anatomical structure in another organism	0.0439727477437788	-1.92078548248711	1.35681639558848
GO:0141061	disruption of cell in another organism	0.0462226882839262	-1.88788256610589	1.33514479981486
GO:1901888	regulation of cell junction assembly	0.0439727477437788	-1.67456425966531	1.35681639558848
GO:2000147	positive regulation of cell motility	0.00972664651732027	-1.59284442219922	2.01203686682902
GO:2000291	regulation of myoblast proliferation	0.0170708323890296	-1.88311452353857	1.76774530178224
