from	to	weight
GO:0048729	GO:0048732	0.317
GO:0001763	GO:0048732	0.451
GO:0008544	GO:0048732	0.324
GO:0060485	GO:0048732	0.678
GO:0061061	GO:0048732	0.409
GO:0001892	GO:0048732	0.411
GO:0072001	GO:0048732	0.583
GO:0048568	GO:0048732	0.688
GO:0001944	GO:0048732	0.583
GO:0001701	GO:0048732	0.343
GO:0007507	GO:0048732	0.678
GO:0098773	GO:0048732	0.513
GO:0030323	GO:0048732	0.688
GO:0060537	GO:0048732	0.324
GO:0071695	GO:0048732	0.368
GO:0002521	GO:0048732	0.461
GO:0021782	GO:0048732	0.356
GO:0001764	GO:0048732	0.302
GO:1903706	GO:0048732	0.422
GO:0051960	GO:0048732	0.437
GO:0048663	GO:0048732	0.331
GO:0061383	GO:0048732	0.349
GO:0060324	GO:0048732	0.368
GO:0007416	GO:0048732	0.366
GO:0048535	GO:0048732	0.582
GO:0048705	GO:0048732	0.578
GO:0007595	GO:0048732	0.551
GO:0032291	GO:0048732	0.411
GO:0048483	GO:0048732	0.583
GO:0007398	GO:0048732	0.324
GO:0035282	GO:0048732	0.406
GO:0060575	GO:0048732	0.356
GO:2000027	GO:0048732	0.503
GO:0061448	GO:0048732	0.324
GO:0002009	GO:0030855	0.473
GO:0048729	GO:0030855	0.411
GO:0008544	GO:0030855	0.43
GO:0060485	GO:0030855	0.347
GO:0061061	GO:0030855	0.342
GO:0032989	GO:0030855	0.425
GO:0045596	GO:0030855	0.376
GO:0098773	GO:0030855	0.397
GO:0048863	GO:0030855	0.545
GO:0060537	GO:0030855	0.43
GO:0071695	GO:0030855	0.312
GO:0002521	GO:0030855	0.452
GO:0021782	GO:0030855	0.446
GO:0042692	GO:0030855	0.566
GO:0001764	GO:0030855	0.334
GO:0030856	GO:0030855	0.61
GO:0048663	GO:0030855	0.426
GO:0001649	GO:0030855	0.479
GO:0010720	GO:0030855	0.372
GO:0003158	GO:0030855	0.535
GO:0030318	GO:0030855	0.42
GO:0060324	GO:0030855	0.312
GO:0045198	GO:0030855	0.483
GO:0007398	GO:0030855	0.43
GO:2000738	GO:0030855	0.312
GO:0060575	GO:0030855	0.627
GO:0061448	GO:0030855	0.43
GO:0030855	GO:0002009	0.473
GO:0048729	GO:0002009	0.788
GO:0001763	GO:0002009	0.439
GO:0008544	GO:0002009	0.451
GO:0060485	GO:0002009	0.36
GO:0061061	GO:0002009	0.36
GO:0032989	GO:0002009	0.354
GO:0098773	GO:0002009	0.41
GO:0060537	GO:0002009	0.451
GO:0071695	GO:0002009	0.326
GO:0061383	GO:0002009	0.469
GO:0003158	GO:0002009	0.56
GO:0060324	GO:0002009	0.326
GO:0045198	GO:0002009	0.431
GO:0007398	GO:0002009	0.451
GO:0060575	GO:0002009	0.308
GO:0060323	GO:0002009	0.394
GO:0061448	GO:0002009	0.451
GO:0048732	GO:0048729	0.317
GO:0030855	GO:0048729	0.411
GO:0002009	GO:0048729	0.788
GO:0001763	GO:0048729	0.552
GO:0008544	GO:0048729	0.584
GO:0060485	GO:0048729	0.459
GO:0061061	GO:0048729	0.457
GO:0032989	GO:0048729	0.443
GO:0021700	GO:0048729	0.342
GO:0098773	GO:0048729	0.351
GO:0060537	GO:0048729	0.584
GO:0071695	GO:0048729	0.411
GO:0048589	GO:0048729	0.306
GO:0061383	GO:0048729	0.6
GO:0008360	GO:0048729	0.341
GO:0003158	GO:0048729	0.49
GO:0060324	GO:0048729	0.411
GO:0048705	GO:0048729	0.378
GO:0045198	GO:0048729	0.357
GO:0007398	GO:0048729	0.584
GO:0060323	GO:0048729	0.497
GO:2000027	GO:0048729	0.349
GO:0061448	GO:0048729	0.584
GO:0040017	GO:2000147	0.539
GO:0030335	GO:2000147	0.871
GO:0050900	GO:2000147	0.395
GO:0001667	GO:2000147	0.404
GO:0040013	GO:2000147	0.332
GO:0045785	GO:2000147	0.367
GO:0001764	GO:2000147	0.331
GO:2000146	GO:2000147	0.645
GO:0044089	GO:2000147	0.367
GO:1903829	GO:2000147	0.381
GO:0034762	GO:2000147	0.344
GO:2000147	GO:0040017	0.539
GO:0030335	GO:0040017	0.488
GO:0042330	GO:0040017	0.305
GO:0040013	GO:0040017	0.616
GO:0045785	GO:0040017	0.33
GO:2000146	GO:0040017	0.332
GO:0051047	GO:0040017	0.317
GO:0044089	GO:0040017	0.33
GO:0040008	GO:0040017	0.385
GO:0032103	GO:0040017	0.347
GO:0050920	GO:0040017	0.443
GO:1904951	GO:0040017	0.357
GO:2000147	GO:0030335	0.871
GO:0040017	GO:0030335	0.488
GO:0050900	GO:0030335	0.439
GO:0001667	GO:0030335	0.452
GO:0030595	GO:0030335	0.313
GO:0040013	GO:0030335	0.301
GO:0045785	GO:0030335	0.326
GO:0001764	GO:0030335	0.368
GO:2000146	GO:0030335	0.562
GO:0044089	GO:0030335	0.326
GO:1903829	GO:0030335	0.336
GO:0034762	GO:0030335	0.31
GO:0030029	GO:0098609	0.388
GO:0098743	GO:0098609	0.388
GO:0007162	GO:0098609	0.449
GO:0033627	GO:0098609	0.669
GO:0045785	GO:0098609	0.449
GO:0031589	GO:0098609	0.669
GO:0045103	GO:0098609	0.388
GO:0099560	GO:0098609	0.565
GO:0006457	GO:0098609	0.388
GO:0001952	GO:0098609	0.37
GO:0030029	GO:0030036	0.573
GO:0034330	GO:0030036	0.451
GO:0097435	GO:0030036	0.451
GO:0034329	GO:0030036	0.315
GO:0032989	GO:0030036	0.354
GO:0030198	GO:0030036	0.334
GO:0045229	GO:0030036	0.451
GO:0098743	GO:0030036	0.311
GO:0030239	GO:0030036	0.428
GO:0045104	GO:0030036	0.605
GO:0045103	GO:0030036	0.311
GO:0033108	GO:0030036	0.344
GO:0032970	GO:0030036	0.366
GO:0032535	GO:0030036	0.37
GO:0006457	GO:0030036	0.311
GO:0032956	GO:0030036	0.63
GO:0098609	GO:0030029	0.388
GO:0030036	GO:0030029	0.573
GO:0034330	GO:0030029	0.357
GO:0050673	GO:0030029	0.428
GO:0097435	GO:0030029	0.357
GO:0034220	GO:0030029	0.311
GO:0045229	GO:0030029	0.357
GO:0098743	GO:0030029	0.543
GO:0006091	GO:0030029	0.388
GO:0007610	GO:0030029	0.306
GO:0048863	GO:0030029	0.334
GO:0033627	GO:0030029	0.388
GO:0033002	GO:0030029	0.428
GO:0046649	GO:0030029	0.338
GO:0072593	GO:0030029	0.388
GO:0032940	GO:0030029	0.311
GO:0050865	GO:0030029	0.323
GO:0035088	GO:0030029	0.357
GO:0061245	GO:0030029	0.428
GO:0045104	GO:0030029	0.311
GO:0070661	GO:0030029	0.428
GO:0043473	GO:0030029	0.306
GO:0099537	GO:0030029	0.301
GO:0031589	GO:0030029	0.388
GO:0071887	GO:0030029	0.311
GO:0006897	GO:0030029	0.349
GO:0045103	GO:0030029	0.543
GO:0090162	GO:0030029	0.357
GO:0032970	GO:0030029	0.595
GO:0048144	GO:0030029	0.428
GO:0048511	GO:0030029	0.306
GO:0072089	GO:0030029	0.428
GO:0035988	GO:0030029	0.428
GO:0006457	GO:0030029	0.543
GO:0032956	GO:0030029	0.343
GO:0042254	GO:0030029	0.311
GO:2000147	GO:0050900	0.395
GO:0030335	GO:0050900	0.439
GO:0001667	GO:0050900	0.694
GO:0030595	GO:0050900	0.667
GO:0001764	GO:0050900	0.519
GO:0046649	GO:0050900	0.316
GO:2000146	GO:0050900	0.395
GO:0030036	GO:0034330	0.451
GO:0030029	GO:0034330	0.357
GO:0097435	GO:0034330	0.639
GO:0034329	GO:0034330	0.683
GO:0032989	GO:0034330	0.464
GO:0030198	GO:0034330	0.47
GO:0045229	GO:0034330	0.639
GO:0098743	GO:0034330	0.357
GO:1901888	GO:0034330	0.476
GO:0120035	GO:0034330	0.35
GO:0045104	GO:0034330	0.451
GO:0097178	GO:0034330	0.31
GO:0007416	GO:0034330	0.428
