from	to	weight
GO:0006816	GO:0043269	0.382
GO:0034220	GO:0043269	0.46
GO:1903169	GO:0043269	0.458
GO:0071715	GO:0043269	0.318
GO:0034762	GO:0043269	0.595
GO:1903522	GO:0008015	0.645
GO:0097746	GO:0008015	0.564
GO:0099177	GO:0007186	0.476
GO:0019935	GO:0007186	0.674
GO:0099537	GO:0007186	0.339
GO:0034762	GO:0007186	0.36
GO:0070098	GO:0007186	0.515
GO:0008015	GO:1903522	0.645
GO:0097746	GO:1903522	0.434
GO:0006816	GO:0070588	0.611
GO:0034220	GO:0070588	0.579
GO:1903169	GO:0070588	0.675
GO:0097553	GO:0070588	0.654
GO:0043269	GO:0006816	0.382
GO:0070588	GO:0006816	0.611
GO:0034220	GO:0006816	0.412
GO:1903169	GO:0006816	0.395
GO:0097553	GO:0006816	0.397
GO:0007186	GO:0099177	0.476
GO:0019935	GO:0099177	0.39
GO:0099537	GO:0099177	0.638
GO:0034762	GO:0099177	0.328
GO:2000300	GO:0099177	0.419
GO:0070098	GO:0099177	0.308
GO:0043269	GO:0034220	0.46
GO:0070588	GO:0034220	0.579
GO:0006816	GO:0034220	0.412
GO:1903169	GO:0034220	0.415
GO:0071715	GO:0034220	0.342
GO:0034762	GO:0034220	0.495
GO:0097553	GO:0034220	0.416
GO:0007186	GO:0019935	0.674
GO:0099177	GO:0019935	0.39
GO:0034762	GO:0019935	0.306
GO:0070098	GO:0019935	0.369
GO:0007186	GO:0099537	0.339
GO:0099177	GO:0099537	0.638
GO:0035296	GO:0035150	0.825
GO:0097746	GO:0035150	0.501
GO:0035150	GO:0035296	0.825
GO:0097746	GO:0035296	0.593
GO:0008015	GO:0097746	0.564
GO:1903522	GO:0097746	0.434
GO:0035150	GO:0097746	0.501
GO:0035296	GO:0097746	0.593
GO:0097553	GO:0051480	0.513
GO:0043269	GO:1903169	0.458
GO:0070588	GO:1903169	0.675
GO:0006816	GO:1903169	0.395
GO:0034220	GO:1903169	0.415
GO:0034762	GO:1903169	0.535
GO:0097553	GO:1903169	0.479
GO:0043269	GO:0071715	0.318
GO:0034220	GO:0071715	0.342
GO:0050482	GO:0071715	0.527
GO:1903963	GO:0071715	0.586
GO:0043269	GO:0034762	0.595
GO:0007186	GO:0034762	0.36
GO:0099177	GO:0034762	0.328
GO:0034220	GO:0034762	0.495
GO:0019935	GO:0034762	0.306
GO:1903169	GO:0034762	0.535
GO:2000300	GO:0034762	0.311
GO:0071715	GO:0050482	0.527
GO:1903963	GO:0050482	0.84
GO:0071715	GO:1903963	0.586
GO:0050482	GO:1903963	0.84
GO:0099177	GO:2000300	0.419
GO:0034762	GO:2000300	0.311
GO:0070588	GO:0097553	0.654
GO:0006816	GO:0097553	0.397
GO:0034220	GO:0097553	0.416
GO:0051480	GO:0097553	0.513
GO:1903169	GO:0097553	0.479
GO:0007186	GO:0070098	0.515
GO:0099177	GO:0070098	0.308
GO:0019935	GO:0070098	0.369
