from	to	weight
GO:0019646	GO:0006119	0.328
GO:0042773	GO:0006119	0.759
GO:0042775	GO:0006119	0.728
GO:0042776	GO:0006119	0.397
GO:0009060	GO:0006119	0.386
GO:0022904	GO:0006119	0.386
GO:0022900	GO:0006119	0.514
GO:0045333	GO:0006119	0.438
GO:0009141	GO:0006119	0.337
GO:0046034	GO:0006119	0.478
GO:0019693	GO:0006119	0.448
GO:0061615	GO:0006119	0.384
GO:0006790	GO:0006119	0.428
GO:0042180	GO:0006119	0.368
GO:0006119	GO:0019646	0.328
GO:0042773	GO:0019646	0.576
GO:0042775	GO:0019646	0.531
GO:0009060	GO:0019646	0.726
GO:0022904	GO:0019646	0.814
GO:0022900	GO:0019646	0.59
GO:0045333	GO:0019646	0.636
GO:0006790	GO:0019646	0.349
GO:0006119	GO:0042773	0.759
GO:0019646	GO:0042773	0.576
GO:0042775	GO:0042773	0.922
GO:0042776	GO:0042773	0.311
GO:0009060	GO:0042773	0.464
GO:0022904	GO:0042773	0.712
GO:0022900	GO:0042773	0.523
GO:0045333	GO:0042773	0.56
GO:0046034	GO:0042773	0.357
GO:0019693	GO:0042773	0.337
GO:0006790	GO:0042773	0.32
GO:0006119	GO:0042775	0.728
GO:0019646	GO:0042775	0.531
GO:0042773	GO:0042775	0.922
GO:0009060	GO:0042775	0.437
GO:0022904	GO:0042775	0.679
GO:0022900	GO:0042775	0.515
GO:0045333	GO:0042775	0.545
GO:0046034	GO:0042775	0.365
GO:0019693	GO:0042775	0.322
GO:0006790	GO:0042775	0.32
GO:0042776	GO:0015986	0.833
GO:0009141	GO:0015986	0.42
GO:0019693	GO:0015986	0.335
GO:0061615	GO:0015986	0.315
GO:0006119	GO:0042776	0.397
GO:0042773	GO:0042776	0.311
GO:0015986	GO:0042776	0.833
GO:0009141	GO:0042776	0.375
GO:0019693	GO:0042776	0.312
GO:0061615	GO:0042776	0.326
GO:0006119	GO:0009060	0.386
GO:0019646	GO:0009060	0.726
GO:0042773	GO:0009060	0.464
GO:0042775	GO:0009060	0.437
GO:0022904	GO:0009060	0.645
GO:0022900	GO:0009060	0.497
GO:0045333	GO:0009060	0.844
GO:0006790	GO:0009060	0.435
GO:0042180	GO:0009060	0.355
GO:0006119	GO:0022904	0.386
