from	to	weight
GO:0001906	GO:0098609	0.388
GO:0030155	GO:0098609	0.534
GO:0033627	GO:0098609	0.669
GO:0030029	GO:0098609	0.388
GO:0031589	GO:0098609	0.669
GO:0050872	GO:0030855	0.459
GO:0030856	GO:0030855	0.61
GO:0048729	GO:0030855	0.411
GO:0008544	GO:0030855	0.43
GO:0010623	GO:0030855	0.518
GO:0032989	GO:0030855	0.425
GO:0060485	GO:0030855	0.347
GO:0061061	GO:0030855	0.342
GO:0060537	GO:0030855	0.43
GO:0003158	GO:0030855	0.535
GO:0045664	GO:0030855	0.363
GO:0042267	GO:0009617	0.365
GO:0042330	GO:0009617	0.356
GO:0002685	GO:0050900	0.63
GO:2000147	GO:0050900	0.395
GO:0002548	GO:0050900	0.579
GO:0051546	GO:0050900	0.485
GO:0002690	GO:0050900	0.355
GO:0098609	GO:0001906	0.388
GO:0034330	GO:0001906	0.357
GO:0001909	GO:0001906	0.595
GO:0042267	GO:0001906	0.331
GO:0045229	GO:0001906	0.357
GO:0001910	GO:0001906	0.349
GO:0033627	GO:0001906	0.388
GO:0031341	GO:0001906	0.595
GO:0030036	GO:0001906	0.311
GO:0030029	GO:0001906	0.543
GO:0051450	GO:0001906	0.428
GO:0031589	GO:0001906	0.388
GO:0030101	GO:0001906	0.301
GO:0042110	GO:0001906	0.301
GO:0031640	GO:0001906	0.695
GO:0030855	GO:0050872	0.459
GO:0010623	GO:0050872	0.44
GO:0032989	GO:0050872	0.351
GO:0045664	GO:0050872	0.31
GO:0030855	GO:0030856	0.61
GO:0031341	GO:0030856	0.31
GO:0010623	GO:0030856	0.345
GO:0060485	GO:0030856	0.331
GO:0003158	GO:0030856	0.312
GO:0045664	GO:0030856	0.589
GO:0001906	GO:0034330	0.357
GO:0030198	GO:0034330	0.47
GO:0045229	GO:0034330	0.639
GO:0034329	GO:0034330	0.683
GO:0032989	GO:0034330	0.464
GO:0030036	GO:0034330	0.451
GO:0030029	GO:0034330	0.357
GO:1901888	GO:0034330	0.476
GO:0001906	GO:0001909	0.595
GO:0042267	GO:0001909	0.589
GO:0001910	GO:0001909	0.616
GO:0042269	GO:0001909	0.348
GO:0031341	GO:0001909	0.377
GO:0002449	GO:0001909	0.534
GO:0030029	GO:0001909	0.323
