from	to	weight
GO:0050867	GO:0007186	0.349
GO:0050804	GO:0007186	0.4
GO:0043410	GO:0007186	0.45
GO:0002831	GO:0007186	0.309
GO:0031341	GO:0007186	0.45
GO:0007162	GO:0007186	0.334
GO:0071216	GO:0007186	0.404
GO:0031347	GO:0006954	0.484
GO:0042060	GO:0006954	0.387
GO:0002269	GO:0006954	0.618
GO:0002228	GO:0006954	0.304
GO:0061760	GO:0006954	0.316
GO:0050900	GO:0002252	0.336
GO:0046649	GO:0002252	0.364
GO:0002250	GO:0002252	0.388
GO:0002697	GO:0002252	0.595
GO:0007610	GO:0002252	0.306
GO:0002263	GO:0002252	0.524
GO:0006959	GO:0002252	0.388
GO:0001909	GO:0002252	0.538
GO:0048002	GO:0002252	0.428
GO:0043299	GO:0002252	0.384
GO:0016064	GO:0002252	0.418
GO:0001910	GO:0002252	0.323
GO:0001776	GO:0002252	0.387
GO:0002228	GO:0002252	0.344
GO:0031347	GO:0050778	0.304
GO:0002250	GO:0050778	0.397
GO:0002697	GO:0050778	0.38
GO:0002263	GO:0050778	0.335
GO:0032103	GO:0050778	0.489
GO:0006959	GO:0050778	0.397
GO:0045088	GO:0050778	0.436
GO:0002831	GO:0050778	0.38
GO:0032102	GO:0050778	0.301
GO:0002252	GO:0050900	0.336
GO:0046649	GO:0050900	0.316
GO:0071621	GO:0050900	0.589
GO:0002685	GO:0050900	0.63
GO:0090497	GO:0050900	0.607
GO:0043542	GO:0050900	0.485
GO:0030336	GO:0050900	0.439
GO:0006364	GO:0022613	0.39
GO:0001906	GO:0022613	0.357
GO:0043062	GO:0022613	0.387
GO:0140253	GO:0022613	0.357
GO:0022618	GO:0022613	0.537
GO:0042255	GO:0022613	0.526
GO:0045580	GO:0002521	0.49
GO:0042692	GO:0002521	0.482
GO:0001501	GO:0002521	0.412
GO:0010720	GO:0002521	0.33
GO:0071542	GO:0002521	0.452
GO:0007423	GO:0002521	0.461
GO:0051216	GO:0002521	0.387
GO:0051150	GO:0002521	0.312
GO:0003176	GO:0002521	0.301
GO:0007186	GO:0050867	0.349
GO:0046649	GO:0050867	0.306
GO:1903039	GO:0050867	0.369
GO:0043410	GO:0050867	0.303
GO:0050870	GO:0050867	0.433
GO:0070665	GO:0050867	0.448
GO:0010562	GO:0050867	0.407
GO:0045937	GO:0050867	0.352
GO:0031341	GO:0050867	0.447
GO:0010720	GO:0050867	0.379
GO:0040017	GO:0050867	0.347
GO:0007162	GO:0050867	0.332
GO:0045807	GO:0050867	0.353
GO:0042330	GO:0009617	0.356
GO:0045088	GO:0009617	0.355
GO:0002831	GO:0009617	0.307
GO:0002228	GO:0009617	0.433
GO:0061760	GO:0009617	0.447
GO:0071216	GO:0009617	0.321
GO:0042330	GO:0006935	0.776
