from	to	weight
GO:0032787	GO:0006631	0.745
GO:0006082	GO:0006631	0.618
GO:0072330	GO:0006631	0.53
GO:0006631	GO:0032787	0.745
GO:0006082	GO:0032787	0.731
GO:0072330	GO:0032787	0.661
GO:0006631	GO:0006082	0.618
GO:0032787	GO:0006082	0.731
GO:0009060	GO:0006082	0.355
GO:0006119	GO:0006082	0.368
GO:0072330	GO:0006082	0.543
GO:0006082	GO:0009060	0.355
GO:0006119	GO:0009060	0.386
GO:0006082	GO:0006119	0.368
GO:0009060	GO:0006119	0.386
GO:0006631	GO:0072330	0.53
GO:0032787	GO:0072330	0.661
GO:0006082	GO:0072330	0.543
