gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Adipo	B cell	Basal	Endo	HormSens	LumProg	Monocyte/Inf mac	Neutrophil/Granulocyte	Proliferating immune	Stroma_0	Stroma_1	Stroma_2	Stroma_3	Stroma_4	T cell	Tissue-resident mac	cDC1
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.027	0.703	0.067	0.23	0.015	0.209	1.591	0.676	1.086	0.076	0.038	0.087	0.306	0.173	0.856	1.046	1.34
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.027	0.703	0.067	0.23	0.015	0.209	1.591	0.676	1.086	0.076	0.038	0.087	0.306	0.173	0.856	1.046	1.34
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.027	0.703	0.067	0.23	0.015	0.209	1.591	0.676	1.086	0.076	0.038	0.087	0.306	0.173	0.856	1.046	1.34
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.027	0.057	0.036	0.017	0.067	0.051	0.081	0.084	0.046	0.061	0.012	0.046	0.04	0.01	0.071	0.087	0.131
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.008	0.0	0.027	0.005	0.036	0.043	0.0	0.0	0.042	0.016	0.0	0.013	0.004	0.015	0.013	0.005	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.011	0.0	0.0	0.007	0.005	0.006	0.01	0.0	0.0	0.009	0.0	0.023	0.006	0.0	0.006	0.005	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.011	0.0	0.0	0.007	0.005	0.006	0.01	0.0	0.0	0.009	0.0	0.023	0.006	0.0	0.006	0.005	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.011	0.0	0.0	0.007	0.005	0.006	0.01	0.0	0.0	0.009	0.0	0.023	0.006	0.0	0.006	0.005	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.048	0.006	0.024	0.011	0.063	0.049	0.008	0.0	0.142	0.007	0.03	0.022	0.016	0.0	0.022	0.012	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.048	0.006	0.024	0.011	0.063	0.049	0.008	0.0	0.142	0.007	0.03	0.022	0.016	0.0	0.022	0.012	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.048	0.006	0.024	0.011	0.063	0.049	0.008	0.0	0.142	0.007	0.03	0.022	0.016	0.0	0.022	0.012	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.048	0.006	0.024	0.011	0.063	0.049	0.008	0.0	0.142	0.007	0.03	0.022	0.016	0.0	0.022	0.012	0.0
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.006	0.009	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.148	0.168	0.083	0.013	0.057	0.039	0.085	0.0	0.091	0.155	0.078	0.044	0.049	0.053	0.015	0.038	0.046
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.148	0.168	0.083	0.013	0.057	0.039	0.085	0.0	0.091	0.155	0.078	0.044	0.049	0.053	0.015	0.038	0.046
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.148	0.168	0.083	0.013	0.057	0.039	0.085	0.0	0.091	0.155	0.078	0.044	0.049	0.053	0.015	0.038	0.046
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.074	0.405	0.05	0.051	0.113	0.073	0.727	0.199	0.393	0.371	0.134	0.103	0.09	0.136	0.114	0.431	0.173
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.074	0.405	0.05	0.051	0.113	0.073	0.727	0.199	0.393	0.371	0.134	0.103	0.09	0.136	0.114	0.431	0.173
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.074	0.405	0.05	0.051	0.113	0.073	0.727	0.199	0.393	0.371	0.134	0.103	0.09	0.136	0.114	0.431	0.173
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.009	0.037	0.182	0.004	0.012	0.01	0.024	0.039	0.08	0.277	0.098	0.014	0.02	0.01	0.0	0.005	0.243
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBB	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.016	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHBB	0.004	0.01	0.049	0.0	0.006	0.019	0.0	0.055	0.0	0.031	0.022	0.031	0.055	0.016	0.007	0.003	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHBB	0.004	0.01	0.049	0.0	0.006	0.019	0.0	0.055	0.0	0.031	0.022	0.031	0.055	0.016	0.007	0.003	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHBB	0.004	0.01	0.049	0.0	0.006	0.019	0.0	0.055	0.0	0.031	0.022	0.031	0.055	0.016	0.007	0.003	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHBB	0.004	0.01	0.049	0.0	0.006	0.019	0.0	0.055	0.0	0.031	0.022	0.031	0.055	0.016	0.007	0.003	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHBB	0.004	0.01	0.049	0.0	0.006	0.019	0.0	0.055	0.0	0.031	0.022	0.031	0.055	0.016	0.007	0.003	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHBB	0.004	0.01	0.049	0.0	0.006	0.019	0.0	0.055	0.0	0.031	0.022	0.031	0.055	0.016	0.007	0.003	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHA	0.002	0.0	0.004	0.0	0.0	0.007	0.0	0.0	0.0	0.005	0.008	0.0	0.0	0.022	0.0	0.0	0.0
