"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Rptor"	"Rptor"	1.45614992321368	-1.45614992321368	"S01"	1.45614992321368	"IS01"
"Lhfpl2"	"Lhfpl2"	1.4162055647171	-1.4162055647171	"S01"	1.4162055647171	"IS01"
"Pld1"	"Pld1"	1.40216082599072	-1.40216082599072	"S01"	1.40216082599072	"IS01"
"Znrf3"	"Znrf3"	1.37698396919267	-1.37698396919267	"S01"	1.37698396919267	"IS01"
"Ago3"	"Ago3"	1.3607545863414	-1.3607545863414	"S01"	1.3607545863414	"IS01"
"Gng2"	"Gng2"	1.36033814660172	-1.36033814660172	"S01"	1.36033814660172	"IS01"
"Taf15"	"Taf15"	1.35472837096332	-1.35472837096332	"S01"	1.35472837096332	"IS01"
"Ophn1"	"Ophn1"	1.33364820076589	-1.33364820076589	"S01"	1.33364820076589	"IS01"
"Stk3"	"Stk3"	1.33315741341712	-1.33315741341712	"S01"	1.33315741341712	"IS01"
"Supt3"	"Supt3"	1.33246449014302	-1.33246449014302	"S01"	1.33246449014302	"IS01"
"Asah1"	"Asah1"	1.29330997159391	-1.29330997159391	"S01"	1.29330997159391	"IS01"
"Map2k5"	"Map2k5"	1.28227791140177	-1.28227791140177	"S01"	1.28227791140177	"IS01"
"Csnk1g3"	"Csnk1g3"	1.27227576164528	-1.27227576164528	"S01"	1.27227576164528	"IS01"
"Plxnc1"	"Plxnc1"	1.27099948434265	-1.27099948434265	"S01"	1.27099948434265	"IS01"
"Otulinl"	"Otulinl"	1.27033769117749	-1.27033769117749	"S01"	1.27033769117749	"IS01"
"Rab14"	"Rab14"	1.26965964248855	-1.26965964248855	"S01"	1.26965964248855	"IS01"
"Tpp2"	"Tpp2"	1.26487145523213	-1.26487145523213	"S01"	1.26487145523213	"IS01"
"Nfe2l2"	"Nfe2l2"	1.26417142544063	-1.26417142544063	"S01"	1.26417142544063	"IS01"
"Fam120b"	"Fam120b"	1.24760719996688	-1.24760719996688	"S01"	1.24760719996688	"IS01"
"Specc1"	"Specc1"	1.2458367775315	-1.2458367775315	"S01"	1.2458367775315	"IS01"
"Pnpla7"	"Pnpla7"	1.24317856073957	-1.24317856073957	"S01"	1.24317856073957	"IS01"
"Agps"	"Agps"	1.23400759199428	-1.23400759199428	"S01"	1.23400759199428	"IS01"
"Galnt7"	"Galnt7"	1.22978031657714	-1.22978031657714	"S01"	1.22978031657714	"IS01"
"Commd10"	"Commd10"	1.22570314024288	-1.22570314024288	"S01"	1.22570314024288	"IS01"
"Cyria"	"Cyria"	1.22258499033972	-1.22258499033972	"S01"	1.22258499033972	"IS01"
"Ifi207"	"Ifi207"	1.22227934159513	-1.22227934159513	"S01"	1.22227934159513	"IS01"
"Itfg1"	"Itfg1"	1.21862529926288	-1.21862529926288	"S01"	1.21862529926288	"IS01"
"Mtdh"	"Mtdh"	1.21734973322137	-1.21734973322137	"S01"	1.21734973322137	"IS01"
"Cacna1d"	"Cacna1d"	1.21356724314498	-1.21356724314498	"S01"	1.21356724314498	"IS01"
"Wdfy3"	"Wdfy3"	1.20829669717626	-1.20829669717626	"S01"	1.20829669717626	"IS01"
"Pik3ap1"	"Pik3ap1"	1.2060569668286	-1.2060569668286	"S01"	1.2060569668286	"IS01"
"Rffl"	"Rffl"	1.20146746054	-1.20146746054	"S01"	1.20146746054	"IS01"
"Cnot2"	"Cnot2"	1.19788453642842	-1.19788453642842	"S01"	1.19788453642842	"IS01"
"Coro7"	"Coro7"	1.19683912795147	-1.19683912795147	"S01"	1.19683912795147	"IS01"
"Tbc1d8"	"Tbc1d8"	1.18599044557286	-1.18599044557286	"S01"	1.18599044557286	"IS01"
"Erp44"	"Erp44"	1.18290305315169	-1.18290305315169	"S01"	1.18290305315169	"IS01"
"Tmem135"	"Tmem135"	1.17903710002705	-1.17903710002705	"S01"	1.17903710002705	"IS01"
"Rcbtb2"	"Rcbtb2"	1.17112674346306	-1.17112674346306	"S01"	1.17112674346306	"IS01"
"Ptbp3"	"Ptbp3"	1.16895513728594	-1.16895513728594	"S01"	1.16895513728594	"IS01"
"Pign"	"Pign"	1.16870032782412	-1.16870032782412	"S01"	1.16870032782412	"IS01"
"8030462N17Rik"	"8030462N17Rik"	1.16831988740997	-1.16831988740997	"S01"	1.16831988740997	"IS01"
"Akap10"	"Akap10"	1.16388040730012	-1.16388040730012	"S01"	1.16388040730012	"IS01"
"Vav1"	"Vav1"	1.16294223502999	-1.16294223502999	"S01"	1.16294223502999	"IS01"
"Nrp1"	"Nrp1"	1.1618486849784	-1.1618486849784	"S01"	1.1618486849784	"IS01"
"Cotl1"	"Cotl1"	1.16166483870799	-1.16166483870799	"S01"	1.16166483870799	"IS01"
"Sec14l1"	"Sec14l1"	1.16162628614817	-1.16162628614817	"S01"	1.16162628614817	"IS01"
"Galnt1"	"Galnt1"	1.1610412900634	-1.1610412900634	"S01"	1.1610412900634	"IS01"
"Snx13"	"Snx13"	1.16050746695184	-1.16050746695184	"S01"	1.16050746695184	"IS01"
"Tec"	"Tec"	1.15657966865211	-1.15657966865211	"S01"	1.15657966865211	"IS01"
"Smad4"	"Smad4"	1.15497454913302	-1.15497454913302	"S01"	1.15497454913302	"IS01"
"5330438D12Rik"	"5330438D12Rik"	1.15409762892262	-1.15409762892262	"S01"	1.15409762892262	"IS01"
"Hmbox1"	"Hmbox1"	1.15407282728176	-1.15407282728176	"S01"	1.15407282728176	"IS01"
"Hdac8"	"Hdac8"	1.15381485904735	-1.15381485904735	"S01"	1.15381485904735	"IS01"
"Hck"	"Hck"	1.14630036195692	-1.14630036195692	"S01"	1.14630036195692	"IS01"
"Skap2"	"Skap2"	1.1461805617304	-1.1461805617304	"S01"	1.1461805617304	"IS01"
"Tgfb1"	"Tgfb1"	1.14167125776306	-1.14167125776306	"S01"	1.14167125776306	"IS01"
"Kdm2a"	"Kdm2a"	1.14070167826723	-1.14070167826723	"S01"	1.14070167826723	"IS01"
"Ddi2"	"Ddi2"	1.13603776136356	-1.13603776136356	"S01"	1.13603776136356	"IS01"
"Acer3"	"Acer3"	1.13572437665248	-1.13572437665248	"S01"	1.13572437665248	"IS01"
"Tsix"	"Tsix"	1.1351488987981	-1.1351488987981	"S01"	1.1351488987981	"IS01"
"Dleu2"	"Dleu2"	1.13475574274091	-1.13475574274091	"S01"	1.13475574274091	"IS01"
"Ms4a4a"	"Ms4a4a"	1.13458675495513	-1.13458675495513	"S01"	1.13458675495513	"IS01"
"Slc25a26"	"Slc25a26"	1.13230616583191	-1.13230616583191	"S01"	1.13230616583191	"IS01"
"Tanc2"	"Tanc2"	1.13102854414248	-1.13102854414248	"S01"	1.13102854414248	"IS01"
"Zfp277"	"Zfp277"	1.12451219382748	-1.12451219382748	"S01"	1.12451219382748	"IS01"
"Evl"	"Evl"	1.12088054283632	-1.12088054283632	"S01"	1.12088054283632	"IS01"
"Crtc3"	"Crtc3"	1.12006591364082	-1.12006591364082	"S01"	1.12006591364082	"IS01"
"Galnt3"	"Galnt3"	1.11937017653309	-1.11937017653309	"S01"	1.11937017653309	"IS01"
"Ola1"	"Ola1"	1.11890741316721	-1.11890741316721	"S01"	1.11890741316721	"IS01"
"Cop1"	"Cop1"	1.11832797477094	-1.11832797477094	"S01"	1.11832797477094	"IS01"
"Sppl2a"	"Sppl2a"	1.11813196836348	-1.11813196836348	"S01"	1.11813196836348	"IS01"
"Peli1"	"Peli1"	1.11803175939493	-1.11803175939493	"S01"	1.11803175939493	"IS01"
"Spred1"	"Spred1"	1.11391911086724	-1.11391911086724	"S01"	1.11391911086724	"IS01"
"Cd300c2"	"Cd300c2"	1.11364597551227	-1.11364597551227	"S01"	1.11364597551227	"IS01"
"Hook3"	"Hook3"	1.1088656202006	-1.1088656202006	"S01"	1.1088656202006	"IS01"
"Plin2"	"Plin2"	1.10811752172578	-1.10811752172578	"S01"	1.10811752172578	"IS01"
"Lysmd4"	"Lysmd4"	1.10633729177479	-1.10633729177479	"S01"	1.10633729177479	"IS01"
"Plxdc2"	"Plxdc2"	1.10399750653999	-1.10399750653999	"S01"	1.10399750653999	"IS01"
"Capzb"	"Capzb"	1.100548954604	-1.100548954604	"S01"	1.100548954604	"IS01"
"Ctsc"	"Ctsc"	1.09740470813113	-1.09740470813113	"S01"	1.09740470813113	"IS01"
"Mitf"	"Mitf"	1.09719500848007	-1.09719500848007	"S01"	1.09719500848007	"IS01"
"Adam17"	"Adam17"	1.09683692194273	-1.09683692194273	"S01"	1.09683692194273	"IS01"
"Atxn2"	"Atxn2"	1.09553136714843	-1.09553136714843	"S01"	1.09553136714843	"IS01"
"Itm2b"	"Itm2b"	1.09518567002914	-1.09518567002914	"S01"	1.09518567002914	"IS01"
"Tank"	"Tank"	1.09255001274299	-1.09255001274299	"S01"	1.09255001274299	"IS01"
"Dnajb14"	"Dnajb14"	1.09121002490792	-1.09121002490792	"S01"	1.09121002490792	"IS01"
