"CellType"	"State"	"InitialEcotype"	"ID"	"Cell type"	"Ecotype"
"B_cell"	"S01"	"IE01"	"B_cell_S01"	"B_cell"	"E1"
"B_cell"	"S02"	"IE01"	"B_cell_S02"	"B_cell"	"E1"
"cDC1"	"S01"	"IE01"	"cDC1_S01"	"cDC1"	"E1"
"cDC1"	"S02"	"IE01"	"cDC1_S02"	"cDC1"	"E1"
"cDC1"	"S03"	"IE01"	"cDC1_S03"	"cDC1"	"E1"
"Macrophage"	"S01"	"IE01"	"Macrophage_S01"	"Macrophage"	"E1"
"Macrophage"	"S02"	"IE01"	"Macrophage_S02"	"Macrophage"	"E1"
"Macrophage"	"S03"	"IE01"	"Macrophage_S03"	"Macrophage"	"E1"
"Macrophage"	"S04"	"IE01"	"Macrophage_S04"	"Macrophage"	"E1"
"Neutrophil_Granulocyte"	"S01"	"IE01"	"Neutrophil_Granulocyte_S01"	"Neutrophil_Granulocyte"	"E1"
"Neutrophil_Granulocyte"	"S02"	"IE01"	"Neutrophil_Granulocyte_S02"	"Neutrophil_Granulocyte"	"E1"
"Proliferating_immune"	"S01"	"IE01"	"Proliferating_immune_S01"	"Proliferating_immune"	"E1"
"Proliferating_immune"	"S02"	"IE01"	"Proliferating_immune_S02"	"Proliferating_immune"	"E1"
"T_cell"	"S01"	"IE01"	"T_cell_S01"	"T_cell"	"E1"
"T_cell"	"S02"	"IE01"	"T_cell_S02"	"T_cell"	"E1"
"T_cell"	"S03"	"IE01"	"T_cell_S03"	"T_cell"	"E1"
"T_cell"	"S04"	"IE01"	"T_cell_S04"	"T_cell"	"E1"
"T_cell"	"S05"	"IE01"	"T_cell_S05"	"T_cell"	"E1"
"T_cell"	"S06"	"IE01"	"T_cell_S06"	"T_cell"	"E1"
"T_cell"	"S07"	"IE02"	"T_cell_S07"	"T_cell"	"E2"
