"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Gsr"	"Gsr"	1.20765235837705	-1.20765235837705	"S01"	1.20765235837705	"IS01"
"Ace"	"Ace"	1.13715499613604	-1.13715499613604	"S01"	1.13715499613604	"IS01"
"Camk2d"	"Camk2d"	1.12947592131486	-1.12947592131486	"S01"	1.12947592131486	"IS01"
"Zfyve9"	"Zfyve9"	1.12656110539487	-1.12656110539487	"S01"	1.12656110539487	"IS01"
"Filip1l"	"Filip1l"	1.10740412384134	-1.10740412384134	"S01"	1.10740412384134	"IS01"
"Pou2f2"	"Pou2f2"	1.05712986974623	-1.05712986974623	"S01"	1.05712986974623	"IS01"
"Map3k5"	"Map3k5"	1.04789695606792	-1.04789695606792	"S01"	1.04789695606792	"IS01"
"Lst1"	"Lst1"	1.03594123366642	-1.03594123366642	"S01"	1.03594123366642	"IS01"
"Runx2"	"Runx2"	1.03381213303316	-1.03381213303316	"S01"	1.03381213303316	"IS01"
"Hck"	"Hck"	1.01812971696924	-1.01812971696924	"S01"	1.01812971696924	"IS01"
"Stk10"	"Stk10"	0.932371921626228	-0.932371921626228	"S01"	0.932371921626228	"IS01"
"6430548M08Rik"	"6430548M08Rik"	0.927286118778143	-0.927286118778143	"S01"	0.927286118778143	"IS01"
"Rara"	"Rara"	0.91471993562873	-0.91471993562873	"S01"	0.91471993562873	"IS01"
"Gm2245"	"Gm2245"	0.9134639734248	-0.9134639734248	"S01"	0.9134639734248	"IS01"
"Sort1"	"Sort1"	0.911035832870931	-0.911035832870931	"S01"	0.911035832870931	"IS01"
"Prkce"	"Prkce"	0.906363406396874	-0.906363406396874	"S01"	0.906363406396874	"IS01"
"Sorl1"	"Sorl1"	0.905784892371623	-0.905784892371623	"S01"	0.905784892371623	"IS01"
"Myo1g"	"Myo1g"	0.904313651293555	-0.904313651293555	"S01"	0.904313651293555	"IS01"
"Tgfbr1"	"Tgfbr1"	0.901300253222473	-0.901300253222473	"S01"	0.901300253222473	"IS01"
"Coro1a"	"Coro1a"	0.898670331470873	-0.898670331470873	"S01"	0.898670331470873	"IS01"
"Cd244a"	"Cd244a"	0.891419868727722	-0.891419868727722	"S01"	0.891419868727722	"IS01"
"Nadk"	"Nadk"	0.887991848822032	-0.887991848822032	"S01"	0.887991848822032	"IS01"
"Gsap"	"Gsap"	0.887931745216475	-0.887931745216475	"S01"	0.887931745216475	"IS01"
"Nab1"	"Nab1"	0.885796636436356	-0.885796636436356	"S01"	0.885796636436356	"IS01"
"Nabp1"	"Nabp1"	0.880284390742906	-0.880284390742906	"S01"	0.880284390742906	"IS01"
"Treml4"	"Treml4"	0.859085144394944	-0.859085144394944	"S01"	0.859085144394944	"IS01"
"Cyp4f16"	"Cyp4f16"	0.856927324149768	-0.856927324149768	"S01"	0.856927324149768	"IS01"
"Spn"	"Spn"	0.842206086993302	-0.842206086993302	"S01"	0.842206086993302	"IS01"
"Clec4a3"	"Clec4a3"	0.842175077370182	-0.842175077370182	"S01"	0.842175077370182	"IS01"
"Msn"	"Msn"	0.826352383734472	-0.826352383734472	"S01"	0.826352383734472	"IS01"
"Apbb1ip"	"Apbb1ip"	0.819244783717858	-0.819244783717858	"S01"	0.819244783717858	"IS01"
"Cyria"	"Cyria"	0.806790053864668	-0.806790053864668	"S01"	0.806790053864668	"IS01"
"Samsn1"	"Samsn1"	0.80432791840783	-0.80432791840783	"S01"	0.80432791840783	"IS01"
"3110021N24Rik"	"3110021N24Rik"	0.801488517900997	-0.801488517900997	"S01"	0.801488517900997	"IS01"
"Sat1"	"Sat1"	0.784699570677554	-0.784699570677554	"S01"	0.784699570677554	"IS01"
"Dock5"	"Dock5"	0.782403694491669	-0.782403694491669	"S01"	0.782403694491669	"IS01"
"Hpse"	"Hpse"	0.779370198500346	-0.779370198500346	"S01"	0.779370198500346	"IS01"
"Klra2"	"Klra2"	0.77873934454319	-0.77873934454319	"S01"	0.77873934454319	"IS01"
"Tnfrsf1b"	"Tnfrsf1b"	0.767711752712075	-0.767711752712075	"S01"	0.767711752712075	"IS01"
"Ptpro"	"Ptpro"	0.76699427876754	-0.76699427876754	"S01"	0.76699427876754	"IS01"
"Ldlr"	"Ldlr"	0.763705272424223	-0.763705272424223	"S01"	0.763705272424223	"IS01"
"Slc8a1"	"Slc8a1"	0.761633205251734	-0.761633205251734	"S01"	0.761633205251734	"IS01"
"Cebpb"	"Cebpb"	0.753703841730455	-0.753703841730455	"S01"	0.753703841730455	"IS01"
"Zc3h12d"	"Zc3h12d"	0.743984430052671	-0.743984430052671	"S01"	0.743984430052671	"IS01"
"5430437J10Rik"	"5430437J10Rik"	0.743300625652907	-0.743300625652907	"S01"	0.743300625652907	"IS01"
"Nedd9"	"Nedd9"	0.739159669200762	-0.739159669200762	"S01"	0.739159669200762	"IS01"
"Cbfa2t3"	"Cbfa2t3"	0.736434471781886	-0.736434471781886	"S01"	0.736434471781886	"IS01"
"Lyn"	"Lyn"	0.728376845729802	-0.728376845729802	"S01"	0.728376845729802	"IS01"
"Tcf7l2"	"Tcf7l2"	0.728303540796625	-0.728303540796625	"S01"	0.728303540796625	"IS01"
"Cers6"	"Cers6"	0.727763702339019	-0.727763702339019	"S01"	0.727763702339019	"IS01"
"Nfkbiz"	"Nfkbiz"	0.723217453585376	-0.723217453585376	"S01"	0.723217453585376	"IS01"
"Dgkh"	"Dgkh"	0.721819097434936	-0.721819097434936	"S01"	0.721819097434936	"IS01"
"Tlr13"	"Tlr13"	0.711909721715829	-0.711909721715829	"S01"	0.711909721715829	"IS01"
"Plbd1"	"Plbd1"	0.708818570827651	-0.708818570827651	"S01"	0.708818570827651	"IS01"
"Rap1a"	"Rap1a"	0.705130164258386	-0.705130164258386	"S01"	0.705130164258386	"IS01"
"Rap1gap2"	"Rap1gap2"	0.704729532499204	-0.704729532499204	"S01"	0.704729532499204	"IS01"
"Cytip"	"Cytip"	0.701449263964325	-0.701449263964325	"S01"	0.701449263964325	"IS01"
"Adgre5"	"Adgre5"	0.698928162681602	-0.698928162681602	"S01"	0.698928162681602	"IS01"
"Ppm1h"	"Ppm1h"	0.696975118044236	-0.696975118044236	"S01"	0.696975118044236	"IS01"
"Rbpms"	"Rbpms"	0.694615197211057	-0.694615197211057	"S01"	0.694615197211057	"IS01"
"Gm15987"	"Gm15987"	0.6857114265999	-0.6857114265999	"S01"	0.6857114265999	"IS01"
"S100a4"	"S100a4"	0.685032664983607	-0.685032664983607	"S01"	0.685032664983607	"IS01"
"Mxi1"	"Mxi1"	0.682742976914603	-0.682742976914603	"S01"	0.682742976914603	"IS01"
"BC035044"	"BC035044"	0.676903251244671	-0.676903251244671	"S01"	0.676903251244671	"IS01"
"Sf3b5"	"Sf3b5"	0.676230180053034	-0.676230180053034	"S01"	0.676230180053034	"IS01"
"Ptk2b"	"Ptk2b"	0.669385315174641	-0.669385315174641	"S01"	0.669385315174641	"IS01"
"Xylt1"	"Xylt1"	0.668571644931975	-0.668571644931975	"S01"	0.668571644931975	"IS01"
"Ppp2r5a"	"Ppp2r5a"	0.668227294675892	-0.668227294675892	"S01"	0.668227294675892	"IS01"
"Slc44a2"	"Slc44a2"	0.665034258090806	-0.665034258090806	"S01"	0.665034258090806	"IS01"
"Cd300c2"	"Cd300c2"	0.664937080583611	-0.664937080583611	"S01"	0.664937080583611	"IS01"
"Il13ra1"	"Il13ra1"	0.664072378340061	-0.664072378340061	"S01"	0.664072378340061	"IS01"
"Il31ra"	"Il31ra"	0.663615026818443	-0.663615026818443	"S01"	0.663615026818443	"IS01"
"Cybb"	"Cybb"	0.655511257869788	-0.655511257869788	"S01"	0.655511257869788	"IS01"
"Ear2"	"Ear2"	0.655222433080607	-0.655222433080607	"S01"	0.655222433080607	"IS01"
"Samhd1"	"Samhd1"	0.649530182853026	-0.649530182853026	"S01"	0.649530182853026	"IS01"
"Mbp"	"Mbp"	0.648127363096721	-0.648127363096721	"S01"	0.648127363096721	"IS01"
"Maml3"	"Maml3"	0.647764008279318	-0.647764008279318	"S01"	0.647764008279318	"IS01"
"Pirb"	"Pirb"	0.647259879129247	-0.647259879129247	"S01"	0.647259879129247	"IS01"
"Ncf2"	"Ncf2"	0.646470679982183	-0.646470679982183	"S01"	0.646470679982183	"IS01"
"Tmem51"	"Tmem51"	0.641219405330151	-0.641219405330151	"S01"	0.641219405330151	"IS01"
"Nxpe4"	"Nxpe4"	0.638718981861822	-0.638718981861822	"S01"	0.638718981861822	"IS01"
"Eif1"	"Eif1"	0.638540986867693	-0.638540986867693	"S01"	0.638540986867693	"IS01"
"Adap1"	"Adap1"	0.636649296448633	-0.636649296448633	"S01"	0.636649296448633	"IS01"
"Plac8"	"Plac8"	0.634549746588652	-0.634549746588652	"S01"	0.634549746588652	"IS01"
"Clec4a1"	"Clec4a1"	0.629698530224652	-0.629698530224652	"S01"	0.629698530224652	"IS01"
"Klf13"	"Klf13"	0.627322648968756	-0.627322648968756	"S01"	0.627322648968756	"IS01"
"Slfn2"	"Slfn2"	0.621549279482915	-0.621549279482915	"S01"	0.621549279482915	"IS01"
"Emilin2"	"Emilin2"	0.619030350701363	-0.619030350701363	"S01"	0.619030350701363	"IS01"
"Eno3"	"Eno3"	0.616330958925213	-0.616330958925213	"S01"	0.616330958925213	"IS01"
"Gvin3"	"Gvin3"	0.615302999732702	-0.615302999732702	"S01"	0.615302999732702	"IS01"
"Diaph2"	"Diaph2"	0.612517985968569	-0.612517985968569	"S01"	0.612517985968569	"IS01"
"2210016F16Rik"	"2210016F16Rik"	0.608531220982531	-0.608531220982531	"S01"	0.608531220982531	"IS01"
"Ptpre"	"Ptpre"	0.60629807741002	-0.60629807741002	"S01"	0.60629807741002	"IS01"
"Plek"	"Plek"	0.600403127344192	-0.600403127344192	"S01"	0.600403127344192	"IS01"
"Zfp710"	"Zfp710"	0.594274297581244	-0.594274297581244	"S01"	0.594274297581244	"IS01"
"Ms4a6b"	"Ms4a6b"	0.587181022852003	-0.587181022852003	"S01"	0.587181022852003	"IS01"
