"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Ccr2"	"Ccr2"	1.22470656744322	-1.22470656744322	"S01"	1.22470656744322	"IS01"
"Srgap3"	"Srgap3"	1.19185797199363	-1.19185797199363	"S01"	1.19185797199363	"IS01"
"Pals2"	"Pals2"	1.19044627502852	-1.19044627502852	"S01"	1.19044627502852	"IS01"
"Rnf141"	"Rnf141"	1.18150029112528	-1.18150029112528	"S01"	1.18150029112528	"IS01"
"Far1os"	"Far1os"	1.15831848316374	-1.15831848316374	"S01"	1.15831848316374	"IS01"
"Cd180"	"Cd180"	1.15255132640034	-1.15255132640034	"S01"	1.15255132640034	"IS01"
"Gm15987"	"Gm15987"	1.14928520898053	-1.14928520898053	"S01"	1.14928520898053	"IS01"
"Srbd1"	"Srbd1"	1.14538607356585	-1.14538607356585	"S01"	1.14538607356585	"IS01"
"Rin3"	"Rin3"	1.14105020578348	-1.14105020578348	"S01"	1.14105020578348	"IS01"
"Rbl1"	"Rbl1"	1.13576632402649	-1.13576632402649	"S01"	1.13576632402649	"IS01"
"Samsn1"	"Samsn1"	1.13335783497697	-1.13335783497697	"S01"	1.13335783497697	"IS01"
"Amn1"	"Amn1"	1.13059283844301	-1.13059283844301	"S01"	1.13059283844301	"IS01"
"Tfdp2"	"Tfdp2"	1.12729676502687	-1.12729676502687	"S01"	1.12729676502687	"IS01"
"Klhl6"	"Klhl6"	1.12062998666557	-1.12062998666557	"S01"	1.12062998666557	"IS01"
"Shtn1"	"Shtn1"	1.11984006361278	-1.11984006361278	"S01"	1.11984006361278	"IS01"
"Acer3"	"Acer3"	1.11295485334598	-1.11295485334598	"S01"	1.11295485334598	"IS01"
"Slx4ip"	"Slx4ip"	1.10508763482518	-1.10508763482518	"S01"	1.10508763482518	"IS01"
"Pik3r6"	"Pik3r6"	1.09879186324926	-1.09879186324926	"S01"	1.09879186324926	"IS01"
"Arhgap39"	"Arhgap39"	1.09670467375827	-1.09670467375827	"S01"	1.09670467375827	"IS01"
"Cep85"	"Cep85"	1.09552324491868	-1.09552324491868	"S01"	1.09552324491868	"IS01"
"Gm20528"	"Gm20528"	1.09092171652391	-1.09092171652391	"S01"	1.09092171652391	"IS01"
"Ccdc88a"	"Ccdc88a"	1.0906493995302	-1.0906493995302	"S01"	1.0906493995302	"IS01"
"Lmtk2"	"Lmtk2"	1.08406438927869	-1.08406438927869	"S01"	1.08406438927869	"IS01"
"Slbp"	"Slbp"	1.08168944916004	-1.08168944916004	"S01"	1.08168944916004	"IS01"
"Noct"	"Noct"	1.06146246034638	-1.06146246034638	"S01"	1.06146246034638	"IS01"
"A330040F15Rik"	"A330040F15Rik"	1.03969118344251	-1.03969118344251	"S01"	1.03969118344251	"IS01"
"Pbx3"	"Pbx3"	1.03682050026185	-1.03682050026185	"S01"	1.03682050026185	"IS01"
"Stxbp6"	"Stxbp6"	1.03673094134863	-1.03673094134863	"S01"	1.03673094134863	"IS01"
"Rttn"	"Rttn"	1.0328191152436	-1.0328191152436	"S01"	1.0328191152436	"IS01"
"Gabpb2"	"Gabpb2"	1.03106204883284	-1.03106204883284	"S01"	1.03106204883284	"IS01"
"Emb"	"Emb"	1.02148704018351	-1.02148704018351	"S01"	1.02148704018351	"IS01"
"Alcam"	"Alcam"	1.02035282538656	-1.02035282538656	"S01"	1.02035282538656	"IS01"
"Mms22l"	"Mms22l"	1.01996716394241	-1.01996716394241	"S01"	1.01996716394241	"IS01"
"Hdac9"	"Hdac9"	1.01123178209253	-1.01123178209253	"S01"	1.01123178209253	"IS01"
"Brd8"	"Brd8"	1.00800371619077	-1.00800371619077	"S01"	1.00800371619077	"IS01"
"Zbtb7c"	"Zbtb7c"	1.00730284467826	-1.00730284467826	"S01"	1.00730284467826	"IS01"
"Phactr2"	"Phactr2"	1.00316061401926	-1.00316061401926	"S01"	1.00316061401926	"IS01"
"Abi2"	"Abi2"	0.9973825197004	-0.9973825197004	"S01"	0.9973825197004	"IS01"
"Mtmr3"	"Mtmr3"	0.996007809799764	-0.996007809799764	"S01"	0.996007809799764	"IS01"
"Nlrp1b"	"Nlrp1b"	0.983620446725939	-0.983620446725939	"S01"	0.983620446725939	"IS01"
"Fem1c"	"Fem1c"	0.982290343107245	-0.982290343107245	"S01"	0.982290343107245	"IS01"
"Hps5"	"Hps5"	0.981551224873017	-0.981551224873017	"S01"	0.981551224873017	"IS01"
