"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"Pax5"	"Pax5"	-0.215874436063255	-0.218138853224758	3.89923200139255	-0.220451279230674	-0.241812837295662	-0.226042434863336	-0.227692379643361	-0.253608585456426	"S01"	3.89923200139255	"IS03"
"Cd19"	"Cd19"	-0.185501100223185	-0.187446915959792	3.35061362278128	-0.189433985740284	-0.207789992110467	-0.194238470885871	-0.195656269943432	-0.217926089286587	"S01"	3.35061362278128	"IS03"
"Chst3"	"Chst3"	-0.19668674967827	-0.198749897402168	3.17342776521426	-0.200856786773922	-0.0986751786975153	-0.205950980641377	-0.207454272470876	-0.231066953890325	"S01"	3.17342776521426	"IS03"
"Cd79b"	"Cd79b"	-0.174116237038732	-0.175942631133544	3.1449745315121	-0.177807747364642	-0.195037180248812	-0.182317364145629	-0.183648147825524	-0.204551189041437	"S01"	3.1449745315121	"IS03"
"Gm43388"	"Gm43388"	-0.163933341721986	-0.165652922229559	2.96104598485337	-0.167408960274395	-0.183630758750597	-0.171654839701645	-0.172907794735963	-0.192588356738431	"S01"	2.96104598485337	"IS03"
"Iglc2"	"Iglc2"	-0.163612398759771	-0.165328612732776	2.95524895259836	-0.167081212867752	-0.183271252874317	-0.171318779860775	-0.172569281903554	-0.192211313990137	"S01"	2.95524895259836	"IS03"
"Fcer2a"	"Fcer2a"	-0.185977356625877	-0.187928168059016	2.94019434584864	-0.189920339451868	-0.0739139596613787	-0.194737159655357	-0.196158598776929	-0.218485593759669	"S01"	2.94019434584864	"IS03"
"Igkc"	"Igkc"	-0.196482349336597	-0.198543353000967	2.79492079935433	-0.0204384689803015	-0.220090693636731	-0.205736952747379	-0.207238682329476	-0.118374876905531	"S01"	2.79492079935433	"IS03"
"Cr2"	"Cr2"	-0.196351116733336	-0.198410743831937	2.78890461023037	-0.200514037936163	-0.219943692774938	-0.205599538898312	-0.0596046880288941	-0.118040795871874	"S01"	2.78890461023037	"IS03"
"Pou2af1"	"Pou2af1"	0.0672318917026228	-0.165255284088886	2.57878992086177	-0.167007106888415	-0.183189966083029	-0.171242794381962	-0.17249274178621	-0.192126061989518	"S01"	2.57878992086177	"IS03"
"Cd79a"	"Cd79a"	-0.163445030435462	-0.165159488796673	2.54174742046596	0.0440648104995091	-0.183083774402513	-0.171143528245828	-0.172392751079739	-0.192014690227026	"S01"	2.54174742046596	"IS03"
"Blk"	"Blk"	-0.225031281760667	-0.227391749751163	2.37375496756478	0.451609334416935	-0.252069924142762	-0.235630581263887	-0.237350512513988	-0.162595670961132	"S01"	2.37375496756478	"IS03"
"Gm30211"	"Gm30211"	0.0580715535885366	-0.177082351975439	2.31541681513996	-0.178959550052917	-0.196300591724711	-0.183498379220926	0.0114693795869105	-0.205876230345429	"S01"	2.31541681513996	"IS03"
"Spib"	"Spib"	-0.123256529823402	-0.124549430485885	2.2263210699352	-0.125869742469835	-0.138066422941718	-0.129062091010736	-0.130004150069209	-0.14480137040229	"S01"	2.2263210699352	"IS03"
"Tnfrsf13c"	"Tnfrsf13c"	-0.123117676068554	-0.124409120223119	2.22381302398826	-0.125727944819124	-0.137910885208574	-0.128916697042797	-0.129857694831431	-0.144638245462651	"S01"	2.22381302398826	"IS03"
"Iglc3"	"Iglc3"	-0.122950958645251	-0.124240654015656	2.22080169052985	-0.125557692750804	-0.137724135846813	-0.128742126987238	-0.129681850541889	-0.144442386375925	"S01"	2.22080169052985	"IS03"
"Btla"	"Btla"	0.30473601088734	-0.108290307031328	2.09414437709199	0.0465298219362123	-0.586813946815947	0.392465206792618	0.116552164970857	-0.512669777761338	"S01"	2.09414437709199	"IS03"
"Ms4a1"	"Ms4a1"	-0.206752196145156	-0.033464351181405	1.94682385081358	-0.211135634932685	-0.117115374684122	-0.216490524224456	-0.0640874881325506	-0.0344052614385107	"S01"	1.94682385081358	"IS03"
"Trp53i11"	"Trp53i11"	-0.0542612419986503	0.249567974778137	1.76855904837744	-0.0717373657233419	-0.26197748410221	-0.244891996008587	0.157988455415692	-0.27475687357061	"S01"	1.76855904837744	"IS03"
"Pecam1"	"Pecam1"	0.359769950921124	-0.204330989183266	1.74705313229336	0.0879893580857483	-0.387175747762482	0.282695136337684	-0.339969872063228	-0.213507306501896	"S01"	1.74705313229336	"IS03"
"Bach2"	"Bach2"	0.330783608946491	0.0297545856184001	1.28394574008065	-0.349115650419535	0.135527429879299	-0.0909881061612241	-0.289715982188146	-0.199095213937697	"S01"	1.28394574008065	"IS03"
"B3gnt5"	"B3gnt5"	-0.0295674044242156	-0.0463289614468448	1.22896875073118	0.120665796624596	-0.0189044042709027	-0.0994173894001471	-0.227697583699391	-0.139194753458226	"S01"	1.22896875073118	"IS03"
"Treml2"	"Treml2"	0.327984575011541	0.0262763453446041	1.12994732323871	0.00186872861216015	-0.195877186327232	-0.183102587218935	-0.184439102454109	-0.0668310057948246	"S01"	1.12994732323871	"IS03"
"Stap1"	"Stap1"	0.138971482643591	0.393674438197477	1.09204111148864	-0.102339241724341	-0.241501851244896	0.163684206189762	-0.11292334320601	-0.327635912669904	"S01"	1.09204111148864	"IS03"
"Dennd3"	"Dennd3"	-0.250903497306461	0.740223475743163	0.990509007617101	-0.113112272465375	0.121227407518119	-0.161613014645613	-0.264639090224698	-0.294760612689298	"S01"	0.990509007617101	"IS03"
"Sorl1"	"Sorl1"	0.031846906356227	0.449902588935221	0.963689521709334	-0.241548159487059	-0.476737076255849	0.431076412702061	0.315502832570066	-0.449161071455955	"S01"	0.963689521709334	"IS03"
"S1pr4"	"S1pr4"	0.181913195757668	0.0819462626092052	0.903778811043979	-0.229505527103059	-0.251744434768084	0.46457529504935	-0.0984234288011237	-0.264024651098234	"S01"	0.903778811043979	"IS03"
"Rasgrp2"	"Rasgrp2"	0.244216221924846	0.116503261555971	0.896285602900603	-0.0833995855230738	-0.0819848063385769	0.429336671628551	-0.247999817605721	-0.411590803732568	"S01"	0.896285602900603	"IS03"
"BE692007"	"BE692007"	0.787282484026163	-0.0827829288561852	0.853161470163668	-0.282800705343604	-0.575829402017898	0.603156779444431	0.0872233204765221	-0.344534994667031	"S01"	0.853161470163668	"IS03"
"Arhgef18"	"Arhgef18"	-0.145043313748473	-0.112786438688639	0.850268846643825	0.024954707502492	0.356526705841844	0.125058485198952	-0.300825527976142	-0.31757682828064	"S01"	0.850268846643825	"IS03"
