"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"Cacnb3"	"Cacnb3"	-0.568240432674611	-0.606456390635885	-0.732324698126352	1.96470057706392	"S01"	1.96470057706392	"IS04"
"Tmem123"	"Tmem123"	-0.710548664490957	-0.2586997656182	-0.751197789901749	1.89707887729836	"S01"	1.89707887729836	"IS04"
"Slco5a1"	"Slco5a1"	-0.643341274255992	-0.532766992743244	-0.643341274255992	1.89428264086487	"S01"	1.89428264086487	"IS04"
"Mreg"	"Mreg"	-0.549553849614333	-0.581940332140264	-0.702720401075036	1.89028015964949	"S01"	1.89028015964949	"IS04"
"Il4i1"	"Il4i1"	-0.471474377492614	-0.533888464968977	-0.644695504868199	1.69601286177587	"S01"	1.69601286177587	"IS04"
"Etv3"	"Etv3"	-0.540143548884605	-0.611242148234889	-0.502348095997551	1.6668882039806	"S01"	1.6668882039806	"IS04"
"Stx11"	"Stx11"	-0.671033162430272	-0.339626126926813	-0.541266344667315	1.66535054083501	"S01"	1.66535054083501	"IS04"
"Tmem150c"	"Tmem150c"	-0.551022937112917	-0.456315869796634	-0.551022937112917	1.62245642594359	"S01"	1.62245642594359	"IS04"
"Relb"	"Relb"	-0.681252267691729	-0.0444656349563294	-0.646054870021963	1.58250671314124	"S01"	1.58250671314124	"IS04"
"Poglut1"	"Poglut1"	-0.425185353456527	-0.214305202614739	-0.758148401800533	1.53933931347364	"S01"	1.53933931347364	"IS04"
"Ccr7"	"Ccr7"	-0.518553659183739	-0.429427249011534	-0.518553659183739	1.5268524409299	"S01"	1.5268524409299	"IS04"
"Gm16685"	"Gm16685"	-0.406688346159953	-0.482222790377434	-0.582306765738789	1.50951354828969	"S01"	1.50951354828969	"IS04"
"5430437J10Rik"	"5430437J10Rik"	-0.719815744586455	-0.069741286322818	-0.516623301891531	1.49500048424578	"S01"	1.49500048424578	"IS04"
"Bcl2l14"	"Bcl2l14"	-0.609871612480198	-0.0926123409843366	-0.609871612480198	1.49233071753132	"S01"	1.49233071753132	"IS04"
"Sinhcaf"	"Sinhcaf"	-0.755142341574221	-0.301493995657127	-0.316882172037209	1.47351079574426	"S01"	1.47351079574426	"IS04"
"Adcy6"	"Adcy6"	-0.778700145059346	0.0676064310569238	-0.5227927437925	1.46992154450065	"S01"	1.46992154450065	"IS04"
"Dusp5"	"Dusp5"	-0.550490799486829	-0.226297204231457	-0.550490799486829	1.45200461877265	"S01"	1.45200461877265	"IS04"
"Cxcl16"	"Cxcl16"	-0.3172028869953	-0.380582362354142	-0.671506215578217	1.43440962674818	"S01"	1.43440962674818	"IS04"
"Adam23"	"Adam23"	-0.52379416417409	0.0304262847643564	-0.696409865645859	1.4023575916202	"S01"	1.4023575916202	"IS04"
"Net1"	"Net1"	-0.64418361133439	-0.224577948843791	-0.407583506520109	1.39327584423052	"S01"	1.39327584423052	"IS04"
"Cd83"	"Cd83"	-0.578656014792618	-0.359120885012789	-0.383809067371031	1.38797871153957	"S01"	1.38797871153957	"IS04"
"Rogdi"	"Rogdi"	-0.625258466179094	-0.046944455015308	-0.532950749466162	1.38688733268518	"S01"	1.38688733268518	"IS04"
"Traf1"	"Traf1"	-0.246187618545186	0.0538421640449687	-0.954658798643391	1.36252969402906	"S01"	1.36252969402906	"IS04"
"Plxnc1"	"Plxnc1"	-0.712771559121528	0.189071808214539	-0.558230265685482	1.34496558978063	"S01"	1.34496558978063	"IS04"
"Arl5a"	"Arl5a"	-0.278992359778278	0.0552761788441079	-0.899670505045866	1.3355727268854	"S01"	1.3355727268854	"IS04"
"Rgs1"	"Rgs1"	-0.452447852835854	-0.374683378129691	-0.452447852835854	1.33220756668335	"S01"	1.33220756668335	"IS04"
"Fscn1"	"Fscn1"	-0.324436252951916	-0.431551443910942	-0.521118724722646	1.30475385700086	"S01"	1.30475385700086	"IS04"
"Papss2"	"Papss2"	-0.606413597572995	0.152111046387048	-0.606413597572995	1.30422899162616	"S01"	1.30422899162616	"IS04"
"Socs2"	"Socs2"	-0.124013394768155	-0.533370719059742	-0.64407030226082	1.2891980257818	"S01"	1.2891980257818	"IS04"
"Cblb"	"Cblb"	-0.987933556709462	0.0349771090446082	-0.126492485083523	1.27550088620631	"S01"	1.27550088620631	"IS04"
"Ankrd33b"	"Ankrd33b"	-0.482254139013663	-0.183160876287018	-0.482254139013663	1.26092255163194	"S01"	1.26092255163194	"IS04"
"Rel"	"Rel"	-0.804962471286508	-0.474768354100804	0.0295573145659068	1.25463695593087	"S01"	1.25463695593087	"IS04"
"Hivep1"	"Hivep1"	-0.480771060565122	-0.328521982821374	-0.385465078666601	1.25310990089108	"S01"	1.25310990089108	"IS04"
"N4bp2l1"	"N4bp2l1"	-1.11780346894366	0.208672794734195	-0.0836250286406563	1.24931095038258	"S01"	1.24931095038258	"IS04"
"Gpr132"	"Gpr132"	-0.889011215418339	-0.304597444089914	0.020920014660094	1.23767625554153	"S01"	1.23767625554153	"IS04"
"Birc2"	"Birc2"	-0.581357253100526	-0.102577747583291	-0.413319584909033	1.23686855907818	"S01"	1.23686855907818	"IS04"
"1810064F22Rik"	"1810064F22Rik"	-0.416384550464331	-0.344818455853274	-0.416384550464331	1.2260211763672	"S01"	1.2260211763672	"IS04"
"Arhgef40"	"Arhgef40"	-0.414276674620768	-0.284774996186252	-0.455050515665662	1.22453739658065	"S01"	1.22453739658065	"IS04"
"Gm10432"	"Gm10432"	-0.415631693968314	-0.34419499656751	-0.415631693968314	1.22380443224004	"S01"	1.22380443224004	"IS04"
"Oprd1"	"Oprd1"	-0.415141273047106	-0.343788866742134	-0.415141273047106	1.22236041508314	"S01"	1.22236041508314	"IS04"
"Gm20465"	"Gm20465"	-0.414877262992014	-0.343570233415262	-0.414877262992014	1.22158305214315	"S01"	1.22158305214315	"IS04"
"Slc4a8"	"Slc4a8"	-0.414084056152585	-0.34291335900136	-0.414084056152585	1.2192474986715	"S01"	1.2192474986715	"IS04"
"Slc33a1"	"Slc33a1"	-0.897977763673163	0.00696912318065422	-0.139164053696997	1.20586550648609	"S01"	1.20586550648609	"IS04"
"Tmtc2"	"Tmtc2"	-0.836087355592758	-0.0235336351469435	-0.163179053081604	1.18408006127098	"S01"	1.18408006127098	"IS04"
