Gene name	Human gene name
mt-Tf	
mt-Rnr1	
mt-Tv	
mt-Rnr2	
mt-Tl1	
mt-Nd1	MT-ND1
mt-Ti	
mt-Tq	
mt-Tm	
mt-Nd2	MT-ND2
mt-Tw	
mt-Ta	
mt-Tn	
mt-Tc	
mt-Ty	
mt-Co1	MT-CO1
mt-Ts1	
mt-Td	
mt-Co2	MT-CO2
mt-Tk	
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
mt-Tg	
mt-Nd3	MT-ND3
mt-Tr	
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
mt-Th	
mt-Ts2	
mt-Tl2	
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
mt-Te	
mt-Cytb	MT-CYB
mt-Tt	
mt-Tp	
	
	
	
	
Vmn1r186	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	SP110
	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	
	SP110
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
